x,y,spawned,detected,attained,discovery,attainment,total_time
-2.75,2.75,1970-01-01 01:00:03,1970-01-01 01:04:42,1970-01-01 01:05:09,279,27,306
-1.25,-3.75,1970-01-01 01:00:13,,,,,
-2.25,2.25,1970-01-01 01:09:07,,,,,
-1.75,0.75,1970-01-01 01:00:33,,,,,
-0.75,-4.25,1970-01-01 01:00:43,,,,,
-1.75,-1.25,1970-01-01 01:01:03,,,,,
1.25,3.25,1970-01-01 01:01:13,1970-01-01 01:01:19,1970-01-01 01:02:11,6,52,58
-3.25,2.75,1970-01-01 01:01:23,,,,,
3.75,3.25,1970-01-01 01:01:33,1970-01-01 01:01:39,1970-01-01 01:01:54,6,15,21
-0.25,-3.75,1970-01-01 01:08:47,1970-01-01 01:08:47,1970-01-01 01:08:54,0,7,7
0.25,-3.25,1970-01-01 01:01:53,,,,,
-1.25,-4.25,1970-01-01 01:02:04,,,,,
0.75,-1.75,1970-01-01 01:02:14,,,,,
1.25,-4.25,1970-01-01 01:02:24,,,,,
3.75,1.25,1970-01-01 01:08:37,,,,,
1.25,-3.25,1970-01-01 01:02:44,,,,,
-3.75,3.25,1970-01-01 01:06:26,1970-01-01 01:08:21,1970-01-01 01:10:38,115,137,252
1.25,0.75,1970-01-01 01:03:04,1970-01-01 01:03:10,1970-01-01 01:03:30,6,20,26
0.75,-2.75,1970-01-01 01:03:14,,,,,
3.25,-1.75,1970-01-01 01:03:24,,,,,
-1.75,-0.75,1970-01-01 01:03:35,,,,,
1.75,-4.25,1970-01-01 01:09:57,,,,,
-1.75,-0.25,1970-01-01 01:03:55,1970-01-01 01:03:55,1970-01-01 01:04:12,0,17,17
-2.25,-0.25,1970-01-01 01:04:05,1970-01-01 01:04:11,1970-01-01 01:04:18,6,7,13
-2.75,-0.25,1970-01-01 01:04:15,1970-01-01 01:04:20,1970-01-01 01:04:36,5,16,21
-1.25,-1.75,1970-01-01 01:04:25,,,,,
1.75,1.75,1970-01-01 01:04:35,,,,,
2.75,3.25,1970-01-01 01:04:45,1970-01-01 01:05:37,1970-01-01 01:05:54,52,17,69
2.75,-3.75,1970-01-01 01:04:55,1970-01-01 01:08:33,1970-01-01 01:09:37,218,64,282
-1.25,-0.25,1970-01-01 01:05:05,,,,,
0.75,-0.25,1970-01-01 01:05:35,,,,,
0.25,-0.75,1970-01-01 01:05:25,,,,,
0.75,-0.25,1970-01-01 01:05:35,,,,,
1.25,1.75,1970-01-01 01:05:46,,,,,
-3.25,-0.75,1970-01-01 01:05:56,1970-01-01 01:06:00,1970-01-01 01:06:31,4,31,35
2.75,-0.75,1970-01-01 01:06:06,,,,,
-1.25,3.75,1970-01-01 01:06:16,,,,,
-3.75,3.25,1970-01-01 01:06:26,1970-01-01 01:08:21,1970-01-01 01:10:38,115,137,252
0.75,-3.25,1970-01-01 01:09:27,1970-01-01 01:09:46,1970-01-01 01:10:20,19,34,53
-0.25,0.75,1970-01-01 01:06:46,,,,,
0.75,1.25,1970-01-01 01:06:56,1970-01-01 01:07:01,1970-01-01 01:07:17,5,16,21
3.25,-3.75,1970-01-01 01:07:06,,,,,
-2.75,-1.25,1970-01-01 01:07:16,1970-01-01 01:07:25,1970-01-01 01:07:43,9,18,27
1.25,4.25,1970-01-01 01:07:57,,,,,
2.25,-0.75,1970-01-01 01:07:36,,,,,
-1.75,-4.25,1970-01-01 01:07:46,,,,,
1.25,4.25,1970-01-01 01:07:57,,,,,
2.25,3.25,1970-01-01 01:08:07,,,,,
-1.75,-3.75,1970-01-01 01:08:17,1970-01-01 01:08:53,1970-01-01 01:09:11,36,18,54
1.25,-1.75,1970-01-01 01:08:27,,,,,
3.75,1.25,1970-01-01 01:08:37,,,,,
-0.25,-3.75,1970-01-01 01:08:47,1970-01-01 01:08:47,1970-01-01 01:08:54,0,7,7
-3.75,-0.75,1970-01-01 01:08:57,1970-01-01 01:10:46,,109,,
-2.25,2.25,1970-01-01 01:09:07,,,,,
1.75,-3.75,1970-01-01 01:09:17,1970-01-01 01:09:49,1970-01-01 01:10:26,32,37,69
0.75,-3.25,1970-01-01 01:09:27,1970-01-01 01:09:46,1970-01-01 01:10:20,19,34,53
3.25,3.75,1970-01-01 01:09:37,,,,,
-2.25,-1.25,1970-01-01 01:09:47,,,,,
1.75,-4.25,1970-01-01 01:09:57,,,,,
-1.25,-1.25,1970-01-01 01:10:07,,,,,
-2.75,-3.75,1970-01-01 01:10:18,,,,,
2.75,1.25,1970-01-01 01:10:28,,,,,
3.25,0.75,1970-01-01 01:10:38,,,,,
0.25,1.75,1970-01-01 01:10:58,,,,,
