x,y,spawned,detected,attained,discovery,attainment,total_time
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,,,,,
-2.75,2.75,1970-01-01 01:00:22,,,,,
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:14,6,36,42
2.75,3.75,1970-01-01 01:00:42,1970-01-01 01:00:43,1970-01-01 01:02:28,1,105,106
1.25,2.25,1970-01-01 01:05:45,,,,,
-0.25,-3.25,1970-01-01 01:05:55,1970-01-01 01:06:13,1970-01-01 01:06:47,18,34,52
0.75,-2.25,1970-01-01 01:01:23,1970-01-01 01:01:29,1970-01-01 01:01:52,6,23,29
-0.25,4.25,1970-01-01 01:01:43,,,,,
0.25,-0.75,1970-01-01 01:01:53,,,,,
0.75,-3.75,1970-01-01 01:02:03,1970-01-01 01:02:05,1970-01-01 01:03:13,2,68,70
2.25,0.75,1970-01-01 01:02:13,,,,,
0.75,1.25,1970-01-01 01:02:23,1970-01-01 01:02:29,1970-01-01 01:02:46,6,17,23
-0.25,-3.25,1970-01-01 01:05:55,1970-01-01 01:06:13,1970-01-01 01:06:47,18,34,52
-1.25,4.25,1970-01-01 01:02:43,,,,,
-2.25,-2.25,1970-01-01 01:02:54,1970-01-01 01:03:22,1970-01-01 01:03:37,28,15,43
1.25,-0.25,1970-01-01 01:03:04,,,,,
-3.25,2.25,1970-01-01 01:03:14,,,,,
0.75,-3.25,1970-01-01 01:03:24,,,,,
-2.75,-2.25,1970-01-01 01:03:34,,,,,
-0.75,3.75,1970-01-01 01:03:44,1970-01-01 01:04:32,1970-01-01 01:04:50,48,18,66
2.75,-3.75,1970-01-01 01:03:54,1970-01-01 01:04:01,1970-01-01 01:04:47,7,46,53
-3.75,-2.25,1970-01-01 01:04:05,,,,,
3.75,-3.75,1970-01-01 01:04:15,1970-01-01 01:04:31,1970-01-01 01:05:46,16,75,91
2.75,3.25,1970-01-01 01:04:25,1970-01-01 01:08:31,1970-01-01 01:08:51,246,20,266
-1.75,-3.25,1970-01-01 01:05:15,,,,,
1.25,2.75,1970-01-01 01:04:45,1970-01-01 01:05:03,1970-01-01 01:05:36,18,33,51
-1.75,-0.25,1970-01-01 01:04:55,1970-01-01 01:05:08,1970-01-01 01:05:59,13,51,64
0.75,0.25,1970-01-01 01:05:05,,,,,
-1.75,-3.25,1970-01-01 01:05:15,,,,,
-2.25,4.25,1970-01-01 01:05:25,,,,,
-2.75,-0.75,1970-01-01 01:05:35,1970-01-01 01:06:29,1970-01-01 01:06:53,54,24,78
1.25,2.25,1970-01-01 01:05:45,,,,,
-0.25,-3.25,1970-01-01 01:05:55,1970-01-01 01:06:13,1970-01-01 01:06:47,18,34,52
2.75,-3.25,1970-01-01 01:06:06,1970-01-01 01:07:40,1970-01-01 01:08:57,94,77,171
-3.25,-1.75,1970-01-01 01:06:36,,,,,
-0.25,-2.25,1970-01-01 01:06:26,,,,,
-3.25,-1.75,1970-01-01 01:06:36,,,,,
-0.75,-0.25,1970-01-01 01:06:46,,,,,
1.25,0.75,1970-01-01 01:06:56,1970-01-01 01:07:57,1970-01-01 01:08:19,61,22,83
1.75,0.25,1970-01-01 01:07:06,,,,,
2.75,0.75,1970-01-01 01:07:16,1970-01-01 01:09:48,1970-01-01 01:10:29,152,41,193
0.25,1.75,1970-01-01 01:07:26,1970-01-01 01:09:07,1970-01-01 01:09:43,101,36,137
0.75,2.75,1970-01-01 01:07:36,,,,,
-2.25,-4.25,1970-01-01 01:07:46,,,,,
-1.75,-4.25,1970-01-01 01:07:56,,,,,
2.25,3.75,1970-01-01 01:08:17,1970-01-01 01:09:20,1970-01-01 01:09:58,63,38,101
2.25,3.75,1970-01-01 01:08:17,1970-01-01 01:09:20,1970-01-01 01:09:58,63,38,101
-0.25,-0.75,1970-01-01 01:08:27,,,,,
-0.75,4.25,1970-01-01 01:08:37,,,,,
-0.25,1.25,1970-01-01 01:08:47,,,,,
1.25,-3.75,1970-01-01 01:08:57,,,,,
-1.25,-1.75,1970-01-01 01:09:07,,,,,
-0.75,1.25,1970-01-01 01:09:17,,,,,
-2.25,-1.25,1970-01-01 01:09:37,,,,,
0.25,-1.75,1970-01-01 01:09:47,1970-01-01 01:09:48,1970-01-01 01:10:11,1,23,24
0.25,-3.25,1970-01-01 01:10:07,1970-01-01 01:10:55,,48,,
1.75,-4.25,1970-01-01 01:10:17,,,,,
-3.25,3.25,1970-01-01 01:10:28,,,,,
-1.75,-1.75,1970-01-01 01:10:38,,,,,
-1.25,1.25,1970-01-01 01:10:48,,,,,
-1.25,-4.25,1970-01-01 01:10:58,,,,,
