x,y,spawned,detected,attained,discovery,attainment,discover_completion
0.75,-0.75,1970-01-01 01:06:26,1970-01-01 01:06:47,1970-01-01 01:07:04,21,17,38
-2.75,-2.25,1970-01-01 01:04:05,1970-01-01 01:04:59,1970-01-01 01:05:10,54,11,65
1.25,-1.75,1970-01-01 01:04:15,,,,,
-1.25,-1.25,1970-01-01 01:04:35,1970-01-01 01:04:41,1970-01-01 01:05:21,6,40,46
2.25,-3.75,1970-01-01 01:04:45,1970-01-01 01:05:06,1970-01-01 01:05:21,21,15,36
2.25,1.75,1970-01-01 01:04:55,,,,,
2.25,1.25,1970-01-01 01:05:16,1970-01-01 01:05:26,1970-01-01 01:05:45,10,19,29
1.25,-4.25,1970-01-01 01:05:26,,,,,
3.75,2.25,1970-01-01 01:05:36,1970-01-01 01:07:05,1970-01-01 01:07:31,89,26,115
0.25,3.75,1970-01-01 01:05:46,1970-01-01 01:06:13,1970-01-01 01:06:38,27,25,52
-1.25,-2.75,1970-01-01 01:05:56,1970-01-01 01:07:01,1970-01-01 01:07:25,65,24,89
0.75,-0.25,1970-01-01 01:06:06,,,,,
-0.25,4.25,1970-01-01 01:06:16,1970-01-01 01:06:45,1970-01-01 01:07:02,29,17,46
0.75,-0.75,1970-01-01 01:06:26,1970-01-01 01:06:47,1970-01-01 01:07:04,21,17,38
-0.75,-0.75,1970-01-01 01:06:36,1970-01-01 01:06:56,1970-01-01 01:07:13,20,17,37
2.25,-4.25,1970-01-01 01:06:46,,,,,
2.25,4.25,1970-01-01 01:06:56,,,,,
2.25,-0.25,1970-01-01 01:07:06,,,,,
0.75,-2.75,1970-01-01 01:07:16,,,,,
2.75,0.75,1970-01-01 01:07:26,1970-01-01 01:08:11,1970-01-01 01:08:30,45,19,64
0.75,-4.25,1970-01-01 01:07:47,,,,,
0.25,3.25,1970-01-01 01:07:57,,,,,
0.75,2.25,1970-01-01 01:08:07,1970-01-01 01:09:58,,111,,
2.75,-1.75,1970-01-01 01:08:17,,,,,
-0.75,-2.25,1970-01-01 01:08:27,1970-01-01 01:09:36,1970-01-01 01:09:57,69,21,90
-2.25,-3.25,1970-01-01 01:08:37,,,,,
4.25,0.75,1970-01-01 01:08:47,,,,,
1.75,0.25,1970-01-01 01:08:57,,,,,
-3.25,2.25,1970-01-01 01:09:07,,,,,
2.25,2.25,1970-01-01 01:09:17,,,,,
0.75,-1.75,1970-01-01 01:09:27,,,,,
0.25,-1.25,1970-01-01 01:09:37,,,,,
-1.75,-2.75,1970-01-01 01:09:48,,,,,
0.25,0.75,1970-01-01 01:09:58,,,,,
-2.75,2.75,1970-01-01 01:00:03,1970-01-01 01:00:16,1970-01-01 01:00:46,13,30,43
-1.25,-3.75,1970-01-01 01:00:13,1970-01-01 01:00:29,1970-01-01 01:00:44,16,15,31
-2.25,2.25,1970-01-01 01:08:57,,,,,
-1.75,0.75,1970-01-01 01:00:33,,,,,
-0.75,-4.25,1970-01-01 01:05:56,,,,,
-3.25,3.75,1970-01-01 01:00:53,,,,,
-1.75,-1.25,1970-01-01 01:01:03,1970-01-01 01:01:09,1970-01-01 01:03:33,6,144,150
1.25,3.25,1970-01-01 01:01:13,1970-01-01 01:01:19,1970-01-01 01:01:51,6,32,38
-3.25,2.75,1970-01-01 01:01:24,1970-01-01 01:01:29,1970-01-01 01:01:51,5,22,27
3.75,3.25,1970-01-01 01:01:34,1970-01-01 01:01:55,1970-01-01 01:02:35,21,40,61
0.25,-3.25,1970-01-01 01:01:54,1970-01-01 01:02:12,1970-01-01 01:02:29,18,17,35
-1.25,-4.25,1970-01-01 01:02:04,1970-01-01 01:07:09,1970-01-01 01:07:27,305,18,323
0.75,-1.75,1970-01-01 01:02:14,1970-01-01 01:02:28,1970-01-01 01:03:18,14,50,64
1.25,-4.25,1970-01-01 01:02:24,,,,,
1.25,-3.25,1970-01-01 01:02:45,1970-01-01 01:04:39,1970-01-01 01:05:38,114,59,173
-3.75,3.25,1970-01-01 01:02:55,1970-01-01 01:08:23,,328,,
1.25,0.75,1970-01-01 01:03:05,,,,,
0.75,-2.75,1970-01-01 01:03:15,,,,,
3.25,-1.75,1970-01-01 01:03:25,,,,,
-1.75,-0.75,1970-01-01 01:03:35,,,,,
1.75,-4.25,1970-01-01 01:03:45,,,,,
-1.75,-0.25,1970-01-01 01:03:55,1970-01-01 01:04:01,1970-01-01 01:04:08,6,7,13
-2.25,-0.25,1970-01-01 01:04:05,1970-01-01 01:04:11,1970-01-01 01:04:17,6,6,12
-2.75,-0.25,1970-01-01 01:04:15,1970-01-01 01:04:16,1970-01-01 01:04:21,1,5,6
-1.25,-1.75,1970-01-01 01:04:25,1970-01-01 01:04:31,1970-01-01 01:05:08,6,37,43
1.75,1.75,1970-01-01 01:04:36,1970-01-01 01:04:41,1970-01-01 01:05:11,5,30,35
2.75,3.25,1970-01-01 01:04:46,,,,,
2.75,-3.75,1970-01-01 01:04:56,1970-01-01 01:05:25,1970-01-01 01:06:11,29,46,75
-1.25,-0.25,1970-01-01 01:05:06,,,,,
0.75,-0.25,1970-01-01 01:05:16,1970-01-01 01:05:36,1970-01-01 01:06:23,20,47,67
0.25,-0.75,1970-01-01 01:05:26,,,,,
2.25,3.25,1970-01-01 01:07:57,,,,,
-0.75,-1.75,1970-01-01 01:05:46,,,,,
-0.75,-4.25,1970-01-01 01:05:56,,,,,
-2.25,0.75,1970-01-01 01:06:06,1970-01-01 01:07:20,1970-01-01 01:07:49,74,29,103
-2.75,3.25,1970-01-01 01:06:16,,,,,
1.25,-1.75,1970-01-01 01:08:17,,,,,
0.25,1.75,1970-01-01 01:06:36,1970-01-01 01:08:48,,132,,
0.75,1.25,1970-01-01 01:06:46,1970-01-01 01:08:48,1970-01-01 01:09:56,122,68,190
3.25,-3.75,1970-01-01 01:06:57,1970-01-01 01:08:06,1970-01-01 01:08:38,69,32,101
-2.75,-1.25,1970-01-01 01:07:07,,,,,
1.25,4.25,1970-01-01 01:07:47,,,,,
2.25,-0.75,1970-01-01 01:07:27,,,,,
-1.75,-4.25,1970-01-01 01:07:37,,,,,
1.25,4.25,1970-01-01 01:07:47,,,,,
2.25,3.25,1970-01-01 01:07:57,,,,,
-1.75,-3.75,1970-01-01 01:08:07,,,,,
1.25,-1.75,1970-01-01 01:08:17,,,,,
-3.75,-0.75,1970-01-01 01:08:47,,,,,
-2.25,2.25,1970-01-01 01:08:57,,,,,
1.75,-3.75,1970-01-01 01:09:07,1970-01-01 01:09:54,,47,,
0.75,-3.25,1970-01-01 01:09:18,,,,,
3.25,3.75,1970-01-01 01:09:28,,,,,
-2.25,-1.25,1970-01-01 01:09:38,,,,,
-2.75,-3.75,1970-01-01 01:09:48,,,,,
2.75,1.25,1970-01-01 01:09:58,,,,,
-2.25,-1.75,1970-01-01 01:00:02,1970-01-01 01:00:16,1970-01-01 01:01:43,14,87,101
-2.75,-0.75,1970-01-01 01:00:12,1970-01-01 01:00:13,1970-01-01 01:00:28,1,15,16
-1.25,4.25,1970-01-01 01:00:32,1970-01-01 01:00:41,1970-01-01 01:00:59,9,18,27
0.25,2.75,1970-01-01 01:00:42,,,,,
-1.75,-0.75,1970-01-01 01:07:06,1970-01-01 01:07:12,1970-01-01 01:07:57,6,45,51
0.25,3.75,1970-01-01 01:01:03,1970-01-01 01:01:08,1970-01-01 01:01:43,5,35,40
-0.75,3.75,1970-01-01 01:01:13,1970-01-01 01:01:18,1970-01-01 01:01:34,5,16,21
1.25,-2.25,1970-01-01 01:01:33,,,,,
1.25,-2.25,1970-01-01 01:01:33,,,,,
-0.75,-3.75,1970-01-01 01:01:43,1970-01-01 01:01:49,1970-01-01 01:02:25,6,36,42
-2.25,-2.75,1970-01-01 01:01:53,1970-01-01 01:03:06,1970-01-01 01:03:55,73,49,122
-1.25,-4.25,1970-01-01 01:06:46,,,,,
2.25,3.75,1970-01-01 01:04:24,,,,,
-2.75,2.25,1970-01-01 01:02:23,,,,,
-1.25,-3.25,1970-01-01 01:06:36,1970-01-01 01:06:58,1970-01-01 01:07:33,22,35,57
-1.25,-3.25,1970-01-01 01:06:36,1970-01-01 01:06:58,1970-01-01 01:07:33,22,35,57
4.25,-0.75,1970-01-01 01:02:54,1970-01-01 01:02:54,1970-01-01 01:03:32,0,38,38
-0.75,-1.25,1970-01-01 01:03:04,1970-01-01 01:03:10,1970-01-01 01:04:08,6,58,64
-2.75,1.75,1970-01-01 01:03:14,1970-01-01 01:04:22,1970-01-01 01:04:38,68,16,84
2.25,-3.25,1970-01-01 01:03:24,1970-01-01 01:05:37,1970-01-01 01:06:25,133,48,181
-0.75,-0.25,1970-01-01 01:03:34,,,,,
1.75,-4.25,1970-01-01 01:03:44,,,,,
-2.25,-0.75,1970-01-01 01:03:54,,,,,
-0.75,-2.25,1970-01-01 01:04:04,1970-01-01 01:04:24,1970-01-01 01:05:15,20,51,71
2.25,4.25,1970-01-01 01:04:14,,,,,
2.25,3.75,1970-01-01 01:04:24,,,,,
4.25,-1.25,1970-01-01 01:04:35,,,,,
-1.25,-0.25,1970-01-01 01:04:45,1970-01-01 01:04:50,1970-01-01 01:04:59,5,9,14
-2.25,-3.25,1970-01-01 01:04:55,,,,,
-2.75,3.25,1970-01-01 01:05:05,,,,,
1.75,1.25,1970-01-01 01:05:15,1970-01-01 01:05:32,1970-01-01 01:06:02,17,30,47
0.75,-1.75,1970-01-01 01:05:25,,,,,
3.25,-1.75,1970-01-01 01:05:35,,,,,
-0.75,-4.25,1970-01-01 01:09:57,,,,,
2.75,-1.75,1970-01-01 01:05:55,,,,,
-1.25,-2.75,1970-01-01 01:06:05,,,,,
-0.25,4.25,1970-01-01 01:06:15,,,,,
0.75,-3.25,1970-01-01 01:06:25,,,,,
-1.25,-3.25,1970-01-01 01:06:36,1970-01-01 01:06:58,1970-01-01 01:07:33,22,35,57
-1.25,-4.25,1970-01-01 01:06:46,,,,,
0.75,-2.25,1970-01-01 01:06:56,,,,,
-1.75,-0.75,1970-01-01 01:07:06,1970-01-01 01:07:12,1970-01-01 01:07:57,6,45,51
1.75,-1.75,1970-01-01 01:07:16,,,,,
0.25,4.25,1970-01-01 01:07:26,,,,,
-2.25,-0.25,1970-01-01 01:07:36,,,,,
1.25,-3.75,1970-01-01 01:07:46,1970-01-01 01:09:10,1970-01-01 01:09:40,84,30,114
