x,y,spawned,detected,attained,discovery,attainment,total_time
-2.75,2.75,1970-01-01 01:00:03,1970-01-01 01:00:09,1970-01-01 01:04:00,6,231,237
-1.25,-3.75,1970-01-01 01:00:13,1970-01-01 01:00:28,1970-01-01 01:00:45,15,17,32
-2.25,2.25,1970-01-01 01:00:23,,,,,
-1.75,0.75,1970-01-01 01:00:33,,,,,
-0.75,-4.25,1970-01-01 01:00:44,1970-01-01 01:00:49,1970-01-01 01:01:27,5,38,43
-1.75,-1.25,1970-01-01 01:01:04,,,,,
1.25,3.25,1970-01-01 01:02:45,1970-01-01 01:04:02,1970-01-01 01:06:03,77,121,198
-3.25,2.75,1970-01-01 01:01:24,1970-01-01 01:01:30,1970-01-01 01:02:05,6,35,41
3.75,3.25,1970-01-01 01:01:34,1970-01-01 01:04:27,1970-01-01 01:04:44,173,17,190
-0.25,-3.75,1970-01-01 01:02:25,1970-01-01 01:02:30,1970-01-01 01:02:57,5,27,32
0.25,-3.25,1970-01-01 01:08:08,1970-01-01 01:08:33,1970-01-01 01:09:04,25,31,56
-1.25,-4.25,1970-01-01 01:02:05,1970-01-01 01:02:05,1970-01-01 01:02:21,0,16,16
0.75,-1.75,1970-01-01 01:02:15,1970-01-01 01:02:20,1970-01-01 01:03:10,5,50,55
-0.25,-3.75,1970-01-01 01:02:25,1970-01-01 01:02:30,1970-01-01 01:02:57,5,27,32
1.25,3.25,1970-01-01 01:02:45,1970-01-01 01:04:02,1970-01-01 01:06:03,77,121,198
-2.25,-1.75,1970-01-01 01:02:55,,,,,
0.25,-1.25,1970-01-01 01:03:05,1970-01-01 01:03:11,1970-01-01 01:05:30,6,139,145
-2.75,-2.25,1970-01-01 01:03:15,1970-01-01 01:03:16,1970-01-01 01:03:32,1,16,17
1.75,-4.25,1970-01-01 01:09:29,1970-01-01 01:09:29,1970-01-01 01:09:39,0,10,10
-1.75,-0.75,1970-01-01 01:03:35,1970-01-01 01:03:41,1970-01-01 01:03:52,6,11,17
0.75,2.25,1970-01-01 01:03:45,1970-01-01 01:03:47,1970-01-01 01:04:49,2,62,64
-1.75,-0.25,1970-01-01 01:03:56,,,,,
-2.25,-0.25,1970-01-01 01:04:06,1970-01-01 01:04:06,1970-01-01 01:04:20,0,14,14
-2.75,-0.25,1970-01-01 01:04:16,1970-01-01 01:04:21,1970-01-01 01:04:26,5,5,10
-1.25,-2.25,1970-01-01 01:04:36,1970-01-01 01:04:37,1970-01-01 01:05:41,1,64,65
2.75,-3.75,1970-01-01 01:04:46,1970-01-01 01:05:48,1970-01-01 01:06:05,62,17,79
-1.25,-0.25,1970-01-01 01:04:56,,,,,
0.75,-0.25,1970-01-01 01:05:26,1970-01-01 01:05:32,1970-01-01 01:05:46,6,14,20
0.25,-0.75,1970-01-01 01:05:16,,,,,
0.75,-0.25,1970-01-01 01:05:26,1970-01-01 01:05:32,1970-01-01 01:05:46,6,14,20
1.25,1.75,1970-01-01 01:05:37,,,,,
-3.25,-0.75,1970-01-01 01:05:47,1970-01-01 01:06:32,1970-01-01 01:08:27,45,115,160
2.75,-0.75,1970-01-01 01:05:57,1970-01-01 01:06:10,1970-01-01 01:06:35,13,25,38
-1.25,3.75,1970-01-01 01:06:07,1970-01-01 01:06:50,1970-01-01 01:07:07,43,17,60
-3.75,3.25,1970-01-01 01:06:17,,,,,
0.75,-3.25,1970-01-01 01:06:27,1970-01-01 01:06:32,1970-01-01 01:07:11,5,39,44
-0.25,0.75,1970-01-01 01:06:37,1970-01-01 01:06:37,1970-01-01 01:08:10,0,93,93
0.75,1.25,1970-01-01 01:06:47,,,,,
3.25,-3.75,1970-01-01 01:06:57,1970-01-01 01:07:10,1970-01-01 01:09:14,13,124,137
-2.75,-1.25,1970-01-01 01:07:07,1970-01-01 01:07:45,1970-01-01 01:08:32,38,47,85
1.25,4.25,1970-01-01 01:07:17,1970-01-01 01:07:24,1970-01-01 01:08:21,7,57,64
2.25,-0.75,1970-01-01 01:07:28,1970-01-01 01:07:28,1970-01-01 01:07:50,0,22,22
-1.75,-4.25,1970-01-01 01:07:38,1970-01-01 01:07:38,1970-01-01 01:08:48,0,70,70
1.75,-1.75,1970-01-01 01:07:48,,,,,
0.25,-3.25,1970-01-01 01:08:08,1970-01-01 01:08:33,1970-01-01 01:09:04,25,31,56
-0.25,-3.25,1970-01-01 01:08:18,1970-01-01 01:08:31,1970-01-01 01:09:00,13,29,42
1.75,-1.25,1970-01-01 01:08:28,1970-01-01 01:08:33,1970-01-01 01:09:22,5,49,54
0.25,4.25,1970-01-01 01:08:38,1970-01-01 01:09:36,1970-01-01 01:10:48,58,72,130
-2.25,3.75,1970-01-01 01:08:48,1970-01-01 01:09:40,1970-01-01 01:10:33,52,53,105
