x,y,spawned,detected,attained,discovery,attainment,total_time
-2.75,2.75,1970-01-01 01:00:02,1970-01-01 01:00:15,1970-01-01 01:03:14,13,179,192
-1.25,-2.75,1970-01-01 01:00:12,1970-01-01 01:00:24,1970-01-01 01:00:39,12,15,27
-2.25,2.75,1970-01-01 01:00:22,,,,,
-1.25,-4.25,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:21,6,43,49
-0.75,-3.25,1970-01-01 01:00:42,1970-01-01 01:00:48,1970-01-01 01:01:13,6,25,31
-3.25,3.75,1970-01-01 01:00:52,1970-01-01 01:01:07,1970-01-01 01:04:13,15,186,201
-1.75,-0.75,1970-01-01 01:01:02,,,,,
1.25,3.25,1970-01-01 01:01:12,1970-01-01 01:04:16,1970-01-01 01:04:38,184,22,206
-3.25,2.75,1970-01-01 01:01:22,1970-01-01 01:01:28,1970-01-01 01:02:59,6,91,97
3.75,3.75,1970-01-01 01:01:33,1970-01-01 01:04:42,1970-01-01 01:05:05,189,23,212
-0.25,-3.25,1970-01-01 01:01:43,1970-01-01 01:01:50,1970-01-01 01:02:24,7,34,41
0.25,-2.75,1970-01-01 01:01:53,1970-01-01 01:01:58,1970-01-01 01:02:19,5,21,26
-1.25,-3.25,1970-01-01 01:02:03,,,,,
0.75,-1.75,1970-01-01 01:02:13,,,,,
-0.25,-2.75,1970-01-01 01:02:23,,,,,
1.75,1.75,1970-01-01 01:02:33,1970-01-01 01:04:06,1970-01-01 01:04:25,93,19,112
1.25,2.75,1970-01-01 01:02:43,1970-01-01 01:04:13,1970-01-01 01:04:34,90,21,111
-2.25,-1.75,1970-01-01 01:02:53,1970-01-01 01:03:16,1970-01-01 01:03:44,23,28,51
0.25,-0.75,1970-01-01 01:03:04,,,,,
-2.75,-3.75,1970-01-01 01:03:14,,,,,
1.75,-4.25,1970-01-01 01:03:24,,,,,
-0.25,0.75,1970-01-01 01:03:34,,,,,
0.75,-2.75,1970-01-01 01:09:36,,,,,
-1.75,-0.25,1970-01-01 01:03:54,,,,,
-2.25,-0.25,1970-01-01 01:04:04,,,,,
-2.75,-0.25,1970-01-01 01:04:14,,,,,
-1.25,-1.25,1970-01-01 01:04:24,,,,,
2.25,-4.25,1970-01-01 01:04:34,1970-01-01 01:09:53,1970-01-01 01:10:24,319,31,350
2.75,-3.25,1970-01-01 01:04:55,,,,,
-1.25,0.25,1970-01-01 01:09:46,,,,,
0.75,0.25,1970-01-01 01:05:15,,,,,
0.25,0.75,1970-01-01 01:05:25,,,,,
0.75,-0.25,1970-01-01 01:09:06,,,,,
1.25,1.25,1970-01-01 01:10:37,,,,,
-3.25,-1.25,1970-01-01 01:05:55,,,,,
2.75,0.75,1970-01-01 01:06:05,,,,,
-0.75,-4.25,1970-01-01 01:06:15,,,,,
-3.75,2.75,1970-01-01 01:06:25,,,,,
0.75,-3.25,1970-01-01 01:06:35,,,,,
-0.25,1.25,1970-01-01 01:06:45,,,,,
0.75,1.25,1970-01-01 01:06:55,,,,,
3.25,-3.75,1970-01-01 01:09:56,,,,,
-2.75,-1.25,1970-01-01 01:07:16,,,,,
1.25,3.75,1970-01-01 01:07:56,,,,,
2.25,-0.25,1970-01-01 01:07:36,,,,,
-1.75,-3.75,1970-01-01 01:08:16,,,,,
1.25,3.75,1970-01-01 01:07:56,,,,,
2.25,3.75,1970-01-01 01:08:06,,,,,
-1.75,-3.75,1970-01-01 01:08:16,,,,,
1.25,-1.75,1970-01-01 01:08:26,,,,,
3.75,1.75,1970-01-01 01:08:36,,,,,
-0.75,4.25,1970-01-01 01:08:46,,,,,
0.75,-0.25,1970-01-01 01:09:06,,,,,
-3.75,-1.25,1970-01-01 01:09:16,,,,,
1.25,-3.25,1970-01-01 01:09:26,,,,,
0.75,-2.75,1970-01-01 01:09:36,,,,,
-1.25,0.25,1970-01-01 01:09:46,,,,,
3.25,-3.75,1970-01-01 01:09:56,,,,,
-1.75,-4.25,1970-01-01 01:10:07,,,,,
2.25,2.25,1970-01-01 01:10:17,,,,,
3.75,-3.25,1970-01-01 01:10:27,,,,,
1.25,1.25,1970-01-01 01:10:37,,,,,
1.75,-1.75,1970-01-01 01:10:47,,,,,
-1.25,-1.75,1970-01-01 01:10:57,,,,,
