x,y,spawned,detected,attained,discovery,attainment,total_time
-2.25,-1.75,1970-01-01 01:00:02,1970-01-01 01:00:19,1970-01-01 01:00:38,17.0,19.0,36.0
-2.75,-0.75,1970-01-01 01:00:12,1970-01-01 01:00:14,1970-01-01 01:00:44,2.0,30.0,32.0
0.25,2.25,1970-01-01 01:00:22,,,,,
-0.75,-3.75,1970-01-01 01:00:32,,,,,
0.25,3.25,1970-01-01 01:00:42,,,,,
-1.75,-0.25,1970-01-01 01:00:52,,,,,
0.25,4.25,1970-01-01 01:01:02,,,,,
-0.25,-3.75,1970-01-01 01:01:12,,,,,
1.25,-1.75,1970-01-01 01:01:22,,,,,
1.25,-2.25,1970-01-01 01:01:32,,,,,
-0.75,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:50,1970-01-01 01:02:03,7.0,13.0,20.0
-2.25,-2.25,1970-01-01 01:01:53,1970-01-01 01:02:13,1970-01-01 01:02:28,20.0,15.0,35.0
-1.25,-3.25,1970-01-01 01:02:03,,,,,
2.25,4.25,1970-01-01 01:02:13,,,,,
-2.75,2.75,1970-01-01 01:02:23,,,,,
-1.25,-2.75,1970-01-01 01:02:33,1970-01-01 01:02:38,1970-01-01 01:02:47,5.0,9.0,14.0
-1.25,-2.25,1970-01-01 01:06:34,1970-01-01 01:06:40,1970-01-01 01:06:58,6.0,18.0,24.0
4.25,-0.25,1970-01-01 01:02:53,1970-01-01 01:03:10,1970-01-01 01:03:39,17.0,29.0,46.0
-0.75,-0.25,1970-01-01 01:03:03,,,,,
-2.75,2.25,1970-01-01 01:03:13,1970-01-01 01:05:25,1970-01-01 01:05:59,132.0,34.0,166.0
2.25,-1.75,1970-01-01 01:03:23,,,,,
-0.75,0.75,1970-01-01 01:03:33,1970-01-01 01:03:39,1970-01-01 01:04:28,6.0,49.0,55.0
1.75,-4.25,1970-01-01 01:03:43,,,,,
-2.25,-0.75,1970-01-01 01:03:54,,,,,
-0.75,-1.25,1970-01-01 01:04:04,,,,,
2.75,-4.25,1970-01-01 01:04:14,,,,,
2.25,3.75,1970-01-01 01:04:24,1970-01-01 01:05:31,1970-01-01 01:05:46,67.0,15.0,82.0
4.25,-1.25,1970-01-01 01:04:34,,,,,
-1.25,0.25,1970-01-01 01:04:44,,,,,
-2.25,-3.25,1970-01-01 01:04:54,,,,,
-2.75,3.25,1970-01-01 01:05:04,,,,,
1.75,1.25,1970-01-01 01:05:14,1970-01-01 01:05:31,1970-01-01 01:06:00,17.0,29.0,46.0
0.75,-1.25,1970-01-01 01:05:24,1970-01-01 01:05:34,1970-01-01 01:06:15,10.0,41.0,51.0
3.25,-1.75,1970-01-01 01:05:34,,,,,
-0.75,-3.25,1970-01-01 01:09:56,,,,,
2.75,-1.75,1970-01-01 01:05:54,,,,,
-1.25,-1.75,1970-01-01 01:06:04,,,,,
0.25,-3.25,1970-01-01 01:06:14,1970-01-01 01:06:20,1970-01-01 01:06:34,6.0,14.0,20.0
0.75,-2.75,1970-01-01 01:06:24,,,,,
-1.25,-2.25,1970-01-01 01:06:34,1970-01-01 01:06:40,1970-01-01 01:06:58,6.0,18.0,24.0
-1.25,-3.75,1970-01-01 01:08:55,,,,,
0.75,-1.75,1970-01-01 01:06:54,,,,,
-1.75,-0.75,1970-01-01 01:07:05,1970-01-01 01:08:42,1970-01-01 01:08:58,97.0,16.0,113.0
1.75,-1.25,1970-01-01 01:07:15,1970-01-01 01:09:26,1970-01-01 01:09:38,131.0,12.0,143.0
0.75,-4.25,1970-01-01 01:07:25,,,,,
-2.25,-0.25,1970-01-01 01:07:35,1970-01-01 01:08:43,1970-01-01 01:09:05,68.0,22.0,90.0
1.25,-3.25,1970-01-01 01:07:45,,,,,
3.25,-1.25,1970-01-01 01:07:55,,,,,
3.75,-4.25,1970-01-01 01:08:05,,,,,
1.75,-3.25,1970-01-01 01:08:15,1970-01-01 01:08:37,1970-01-01 01:09:07,22.0,30.0,52.0
-2.75,3.75,1970-01-01 01:08:25,,,,,
0.75,2.75,1970-01-01 01:08:35,,,,,
-3.25,0.25,1970-01-01 01:08:45,,,,,
-1.25,-3.75,1970-01-01 01:08:55,,,,,
-2.25,4.25,1970-01-01 01:09:05,,,,,
-1.25,-0.75,1970-01-01 01:09:15,,,,,
1.25,-2.75,1970-01-01 01:09:25,,,,,
-1.25,-0.25,1970-01-01 01:09:35,,,,,
0.25,2.75,1970-01-01 01:09:46,,,,,
-0.75,-3.25,1970-01-01 01:09:56,,,,,
-1.25,3.25,1970-01-01 01:10:06,,,,,
