x,y,spawned,detected,attained,discovery,attainment,discover_completion
-2.75,2.75,1970-01-01 01:00:02,1970-01-01 01:00:08,1970-01-01 01:02:56,6,168,174
-1.25,-2.75,1970-01-01 01:00:12,1970-01-01 01:00:23,1970-01-01 01:00:39,11,16,27
-2.25,2.75,1970-01-01 01:00:22,,,,,
-1.25,-4.25,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:18,6,40,46
-0.75,-3.25,1970-01-01 01:00:42,1970-01-01 01:00:48,1970-01-01 01:01:29,6,41,47
-3.25,3.75,1970-01-01 01:00:52,,,,,
1.25,3.25,1970-01-01 01:01:13,1970-01-01 01:03:52,1970-01-01 01:04:19,159,27,186
-3.25,2.75,1970-01-01 01:01:23,1970-01-01 01:01:55,1970-01-01 01:03:03,32,68,100
3.75,3.75,1970-01-01 01:01:33,1970-01-01 01:04:03,1970-01-01 01:04:32,150,29,179
-0.25,-3.25,1970-01-01 01:01:43,1970-01-01 01:01:49,1970-01-01 01:02:12,6,23,29
0.25,-2.75,1970-01-01 01:01:53,1970-01-01 01:02:03,1970-01-01 01:02:28,10,25,35
-1.25,-3.25,1970-01-01 01:02:03,1970-01-01 01:02:04,1970-01-01 01:02:20,1,16,17
0.75,-1.75,1970-01-01 01:02:13,,,,,
-0.25,-2.75,1970-01-01 01:02:23,,,,,
1.75,1.75,1970-01-01 01:02:33,,,,,
1.25,2.75,1970-01-01 01:02:43,,,,,
-2.25,-1.75,1970-01-01 01:02:54,1970-01-01 01:02:59,1970-01-01 01:03:18,5,19,24
0.25,-0.75,1970-01-01 01:03:04,,,,,
-2.75,-3.75,1970-01-01 01:03:14,,,,,
1.75,-4.25,1970-01-01 01:03:44,,,,,
1.75,-4.25,1970-01-01 01:03:44,,,,,
-1.75,-0.25,1970-01-01 01:03:54,,,,,
-2.25,-0.25,1970-01-01 01:04:04,,,,,
-2.75,-0.25,1970-01-01 01:04:14,,,,,
-1.25,-1.25,1970-01-01 01:04:24,,,,,
2.25,-4.25,1970-01-01 01:04:35,,,,,
2.75,3.75,1970-01-01 01:08:56,,,,,
2.75,-3.25,1970-01-01 01:04:55,,,,,
-1.25,0.25,1970-01-01 01:05:05,,,,,
0.25,0.75,1970-01-01 01:05:25,1970-01-01 01:05:42,1970-01-01 01:05:57,17,15,32
0.75,-0.25,1970-01-01 01:09:06,,,,,
1.25,1.25,1970-01-01 01:05:45,1970-01-01 01:05:51,1970-01-01 01:06:05,6,14,20
-3.25,-1.25,1970-01-01 01:05:55,1970-01-01 01:06:49,1970-01-01 01:07:16,54,27,81
-0.75,-4.25,1970-01-01 01:06:15,,,,,
-3.75,2.75,1970-01-01 01:06:25,,,,,
0.75,-3.25,1970-01-01 01:06:35,,,,,
-0.25,1.25,1970-01-01 01:06:46,,,,,
0.75,1.25,1970-01-01 01:06:56,,,,,
3.25,-3.75,1970-01-01 01:07:06,,,,,
-2.75,-1.25,1970-01-01 01:07:16,,,,,
1.25,3.75,1970-01-01 01:07:56,,,,,
2.25,-0.25,1970-01-01 01:07:36,,,,,
-1.75,-3.75,1970-01-01 01:08:16,,,,,
1.25,3.75,1970-01-01 01:07:56,,,,,
2.25,3.75,1970-01-01 01:08:06,,,,,
-1.75,-3.75,1970-01-01 01:08:16,,,,,
1.25,-1.75,1970-01-01 01:08:26,,,,,
3.75,1.75,1970-01-01 01:08:36,,,,,
-0.75,4.25,1970-01-01 01:08:46,,,,,
2.75,3.75,1970-01-01 01:08:56,,,,,
0.75,-0.25,1970-01-01 01:09:06,,,,,
-3.75,-1.25,1970-01-01 01:09:16,,,,,
1.25,-3.25,1970-01-01 01:09:26,,,,,
3.25,-1.75,1970-01-01 01:09:46,,,,,
2.75,1.25,1970-01-01 01:10:06,,,,,
3.25,0.75,1970-01-01 01:10:16,,,,,
