x,y,spawned,detected,attained,discovery,attainment,discover_completion
-2.75,2.75,1970-01-01 01:00:03,1970-01-01 01:03:23,1970-01-01 01:03:47,200.0,24.0,224.0
-1.25,-3.75,1970-01-01 01:00:13,,,,,
-2.25,2.25,1970-01-01 01:09:08,,,,,
-1.75,0.75,1970-01-01 01:00:33,,,,,
-0.75,-4.25,1970-01-01 01:00:43,1970-01-01 01:02:29,1970-01-01 01:02:48,106.0,19.0,125.0
-3.25,3.75,1970-01-01 01:00:53,1970-01-01 01:03:23,1970-01-01 01:04:04,150.0,41.0,191.0
-1.75,-1.25,1970-01-01 01:01:04,,,,,
-3.25,2.75,1970-01-01 01:01:24,1970-01-01 01:03:23,1970-01-01 01:03:58,119.0,35.0,154.0
3.75,3.25,1970-01-01 01:01:34,1970-01-01 01:01:39,1970-01-01 01:01:55,5.0,16.0,21.0
0.25,-3.25,1970-01-01 01:01:54,1970-01-01 01:02:36,1970-01-01 01:02:59,42.0,23.0,65.0
-1.25,-4.25,1970-01-01 01:02:04,,,,,
0.75,-1.75,1970-01-01 01:02:14,,,,,
1.75,1.75,1970-01-01 01:04:35,1970-01-01 01:04:58,1970-01-01 01:05:42,23.0,44.0,67.0
-2.25,-1.75,1970-01-01 01:02:54,1970-01-01 01:03:00,1970-01-01 01:03:15,6.0,15.0,21.0
0.25,-1.25,1970-01-01 01:03:05,,,,,
-2.75,-2.25,1970-01-01 01:03:15,,,,,
1.75,-4.25,1970-01-01 01:09:58,,,,,
-1.75,-0.75,1970-01-01 01:03:35,,,,,
1.75,-4.25,1970-01-01 01:09:58,,,,,
-1.75,-0.25,1970-01-01 01:03:55,1970-01-01 01:03:56,1970-01-01 01:04:07,1.0,11.0,12.0
-2.25,-0.25,1970-01-01 01:04:05,1970-01-01 01:04:11,1970-01-01 01:04:27,6.0,16.0,22.0
-2.75,-0.25,1970-01-01 01:04:15,,,,,
-1.25,-1.75,1970-01-01 01:04:25,1970-01-01 01:05:08,1970-01-01 01:05:24,43.0,16.0,59.0
1.75,1.75,1970-01-01 01:04:35,1970-01-01 01:04:58,1970-01-01 01:05:42,23.0,44.0,67.0
2.75,3.25,1970-01-01 01:04:45,,,,,
2.75,-3.75,1970-01-01 01:04:55,1970-01-01 01:09:51,,296.0,,
-1.25,-0.25,1970-01-01 01:05:06,1970-01-01 01:05:11,1970-01-01 01:05:21,5.0,10.0,15.0
0.75,-0.25,1970-01-01 01:05:36,,,,,
0.25,-0.75,1970-01-01 01:05:26,,,,,
0.75,-0.25,1970-01-01 01:05:36,,,,,
1.25,1.75,1970-01-01 01:05:46,1970-01-01 01:05:51,1970-01-01 01:06:16,5.0,25.0,30.0
-3.25,-0.75,1970-01-01 01:05:56,1970-01-01 01:07:05,1970-01-01 01:07:42,69.0,37.0,106.0
2.75,-0.75,1970-01-01 01:06:06,,,,,
-1.25,3.75,1970-01-01 01:06:16,1970-01-01 01:08:56,1970-01-01 01:09:31,160.0,35.0,195.0
-3.75,3.25,1970-01-01 01:06:26,,,,,
0.75,-3.25,1970-01-01 01:09:28,,,,,
-0.25,0.75,1970-01-01 01:06:46,,,,,
0.75,1.25,1970-01-01 01:06:57,,,,,
3.25,-3.75,1970-01-01 01:07:07,,,,,
-2.75,-1.25,1970-01-01 01:07:17,1970-01-01 01:07:22,1970-01-01 01:07:36,5.0,14.0,19.0
1.25,4.25,1970-01-01 01:07:57,,,,,
2.25,-0.75,1970-01-01 01:07:37,,,,,
-1.75,-4.25,1970-01-01 01:07:47,,,,,
1.25,4.25,1970-01-01 01:07:57,,,,,
2.25,3.25,1970-01-01 01:08:07,,,,,
-1.75,-3.75,1970-01-01 01:08:17,,,,,
1.25,-1.75,1970-01-01 01:08:27,,,,,
3.75,1.25,1970-01-01 01:08:37,,,,,
-3.75,-0.75,1970-01-01 01:08:58,,,,,
-2.25,2.25,1970-01-01 01:09:08,,,,,
1.75,-3.75,1970-01-01 01:09:18,1970-01-01 01:09:38,,20.0,,
0.75,-3.25,1970-01-01 01:09:28,,,,,
3.25,3.75,1970-01-01 01:09:38,,,,,
-2.25,-1.25,1970-01-01 01:09:48,,,,,
1.75,-4.25,1970-01-01 01:09:58,,,,,
