x,y,spawned,detected,attained,discovery,attainment,discover_completion
-2.25,-1.75,1970-01-01 01:00:02,1970-01-01 01:00:27,1970-01-01 01:00:37,25.0,10.0,35.0
-2.75,-0.75,1970-01-01 01:00:12,1970-01-01 01:00:22,1970-01-01 01:00:44,10.0,22.0,32.0
0.25,2.25,1970-01-01 01:00:22,1970-01-01 01:00:23,1970-01-01 01:03:51,1.0,208.0,209.0
-0.75,-3.75,1970-01-01 01:00:32,,,,,
0.25,3.25,1970-01-01 01:00:42,,,,,
-1.75,-0.25,1970-01-01 01:00:52,,,,,
0.25,4.25,1970-01-01 01:01:03,,,,,
-0.25,-3.75,1970-01-01 01:01:13,1970-01-01 01:01:16,1970-01-01 01:01:55,3.0,39.0,42.0
1.25,-1.75,1970-01-01 01:01:23,,,,,
1.25,-2.25,1970-01-01 01:01:33,,,,,
-0.75,-2.25,1970-01-01 01:01:43,,,,,
-2.25,-2.25,1970-01-01 01:01:53,1970-01-01 01:01:59,1970-01-01 01:02:26,6.0,27.0,33.0
-1.25,-3.25,1970-01-01 01:02:03,,,,,
2.25,4.25,1970-01-01 01:02:14,,,,,
-2.75,2.75,1970-01-01 01:02:24,,,,,
-1.25,-2.75,1970-01-01 01:02:34,,,,,
4.25,-0.25,1970-01-01 01:02:54,1970-01-01 01:02:59,1970-01-01 01:03:25,5.0,26.0,31.0
-0.75,-0.25,1970-01-01 01:03:04,,,,,
-2.75,2.25,1970-01-01 01:03:14,,,,,
2.25,-1.75,1970-01-01 01:03:25,,,,,
-0.75,0.75,1970-01-01 01:03:35,,,,,
1.75,-4.25,1970-01-01 01:03:45,,,,,
-2.25,-0.75,1970-01-01 01:03:55,1970-01-01 01:04:01,1970-01-01 01:04:15,6.0,14.0,20.0
-0.75,-1.25,1970-01-01 01:04:05,,,,,
2.75,-4.25,1970-01-01 01:04:15,,,,,
2.25,3.75,1970-01-01 01:04:26,1970-01-01 01:05:27,1970-01-01 01:05:43,61.0,16.0,77.0
4.25,-1.25,1970-01-01 01:04:36,,,,,
-1.25,0.25,1970-01-01 01:04:46,1970-01-01 01:04:51,1970-01-01 01:05:04,5.0,13.0,18.0
-2.25,-3.25,1970-01-01 01:04:56,,,,,
-2.75,3.25,1970-01-01 01:05:06,,,,,
1.75,1.25,1970-01-01 01:05:16,1970-01-01 01:05:27,1970-01-01 01:05:48,11.0,21.0,32.0
0.75,-1.25,1970-01-01 01:05:26,,,,,
3.25,-1.75,1970-01-01 01:05:36,,,,,
2.75,-1.75,1970-01-01 01:05:56,,,,,
-1.25,-1.75,1970-01-01 01:06:07,,,,,
0.25,-3.25,1970-01-01 01:06:17,,,,,
0.75,-2.75,1970-01-01 01:06:27,1970-01-01 01:07:26,1970-01-01 01:07:52,59.0,26.0,85.0
-1.25,-3.75,1970-01-01 01:08:58,,,,,
0.75,-1.75,1970-01-01 01:06:57,,,,,
-1.75,-0.75,1970-01-01 01:07:07,,,,,
1.75,-1.25,1970-01-01 01:07:17,1970-01-01 01:09:04,1970-01-01 01:09:22,107.0,18.0,125.0
0.75,-4.25,1970-01-01 01:07:27,,,,,
-2.25,-0.25,1970-01-01 01:07:37,1970-01-01 01:08:31,1970-01-01 01:08:50,54.0,19.0,73.0
1.25,-3.25,1970-01-01 01:07:47,,,,,
3.25,-1.25,1970-01-01 01:07:58,,,,,
3.75,-4.25,1970-01-01 01:08:08,,,,,
1.75,-3.25,1970-01-01 01:08:18,,,,,
-2.75,3.75,1970-01-01 01:08:28,,,,,
0.75,2.75,1970-01-01 01:08:38,,,,,
-3.25,0.25,1970-01-01 01:08:48,1970-01-01 01:10:05,1970-01-01 01:10:11,77.0,6.0,83.0
-1.25,-3.75,1970-01-01 01:08:58,,,,,
-2.25,4.25,1970-01-01 01:09:08,,,,,
-1.25,-0.75,1970-01-01 01:09:18,,,,,
1.25,-2.75,1970-01-01 01:09:28,,,,,
-1.25,-0.25,1970-01-01 01:09:39,,,,,
0.25,2.75,1970-01-01 01:09:49,,,,,
-1.25,3.25,1970-01-01 01:10:09,,,,,
