x,y,spawned,detected,attained,discovery,attainment,discover_completion
1.75,-1.25,1970-01-01 01:00:02,1970-01-01 01:00:11,1970-01-01 01:00:40,9.0,29.0,38.0
2.25,2.75,1970-01-01 01:00:22,1970-01-01 01:00:28,1970-01-01 01:01:30,6.0,62.0,68.0
-1.25,-3.25,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:00,6.0,22.0,28.0
3.75,-0.25,1970-01-01 01:00:42,1970-01-01 01:00:52,1970-01-01 01:01:10,10.0,18.0,28.0
-4.25,-0.25,1970-01-01 01:00:53,,,,,
3.25,-3.25,1970-01-01 01:03:55,1970-01-01 01:05:05,1970-01-01 01:05:44,70.0,39.0,109.0
3.25,3.75,1970-01-01 01:01:13,,,,,
0.25,2.75,1970-01-01 01:01:23,,,,,
-1.25,0.25,1970-01-01 01:01:33,1970-01-01 01:01:51,1970-01-01 01:02:14,18.0,23.0,41.0
-2.25,-2.25,1970-01-01 01:01:43,,,,,
-1.25,-0.25,1970-01-01 01:04:35,1970-01-01 01:05:37,1970-01-01 01:05:54,62.0,17.0,79.0
-2.25,-3.25,1970-01-01 01:08:47,,,,,
0.25,-2.25,1970-01-01 01:02:13,,,,,
-0.75,3.25,1970-01-01 01:02:24,,,,,
-0.75,-4.25,1970-01-01 01:03:34,,,,,
1.25,-3.25,1970-01-01 01:02:44,,,,,
1.25,-1.75,1970-01-01 01:04:25,,,,,
-3.75,3.25,1970-01-01 01:03:04,1970-01-01 01:06:09,1970-01-01 01:06:47,185.0,38.0,223.0
1.25,-1.75,1970-01-01 01:04:25,,,,,
-0.25,0.75,1970-01-01 01:03:44,,,,,
-0.75,-4.25,1970-01-01 01:03:34,,,,,
-0.25,0.75,1970-01-01 01:03:44,,,,,
3.25,-3.25,1970-01-01 01:03:55,1970-01-01 01:05:05,1970-01-01 01:05:44,70.0,39.0,109.0
-2.75,-2.25,1970-01-01 01:04:15,,,,,
1.25,-1.75,1970-01-01 01:04:25,,,,,
-1.25,-0.25,1970-01-01 01:04:35,1970-01-01 01:05:37,1970-01-01 01:05:54,62.0,17.0,79.0
-1.25,-1.25,1970-01-01 01:04:45,1970-01-01 01:06:23,1970-01-01 01:06:43,98.0,20.0,118.0
2.25,-3.75,1970-01-01 01:04:55,1970-01-01 01:07:53,1970-01-01 01:08:39,178.0,46.0,224.0
2.25,1.75,1970-01-01 01:05:05,,,,,
-0.75,1.25,1970-01-01 01:07:47,,,,,
2.25,1.25,1970-01-01 01:05:25,,,,,
1.25,-4.25,1970-01-01 01:05:35,,,,,
3.75,2.25,1970-01-01 01:05:46,,,,,
0.25,3.75,1970-01-01 01:05:56,,,,,
-1.25,-2.75,1970-01-01 01:06:06,1970-01-01 01:08:45,1970-01-01 01:09:01,159.0,16.0,175.0
0.75,-0.25,1970-01-01 01:06:16,,,,,
-0.25,4.25,1970-01-01 01:06:26,,,,,
0.75,-0.75,1970-01-01 01:06:36,,,,,
-0.75,-0.75,1970-01-01 01:06:46,,,,,
2.25,-4.25,1970-01-01 01:06:56,,,,,
2.25,4.25,1970-01-01 01:07:06,,,,,
2.25,-0.25,1970-01-01 01:07:16,,,,,
0.75,-2.75,1970-01-01 01:07:26,1970-01-01 01:08:02,1970-01-01 01:08:18,36.0,16.0,52.0
-0.75,1.25,1970-01-01 01:07:47,,,,,
0.75,-4.25,1970-01-01 01:07:57,,,,,
0.25,3.25,1970-01-01 01:08:07,,,,,
0.75,2.25,1970-01-01 01:08:17,,,,,
2.75,-1.75,1970-01-01 01:08:27,,,,,
-0.75,-2.25,1970-01-01 01:08:37,,,,,
-2.25,-3.25,1970-01-01 01:08:47,,,,,
4.25,0.75,1970-01-01 01:08:57,,,,,
1.75,0.25,1970-01-01 01:09:07,,,,,
-3.25,2.25,1970-01-01 01:09:17,,,,,
0.75,-1.75,1970-01-01 01:09:38,,,,,
0.25,-1.25,1970-01-01 01:09:48,,,,,
-1.75,-2.75,1970-01-01 01:09:58,,,,,
0.25,0.75,1970-01-01 01:10:08,,,,,
