x,y,spawned,detected,attained,discovery,attainment,discover_completion
-2.75,2.75,1970-01-01 01:00:02,,,,,
-1.25,-2.75,1970-01-01 01:00:12,1970-01-01 01:00:31,1970-01-01 01:00:42,19.0,11.0,30.0
-2.25,2.75,1970-01-01 01:00:23,,,,,
-1.25,-4.25,1970-01-01 01:00:33,,,,,
-0.75,-3.25,1970-01-01 01:00:43,1970-01-01 01:00:47,1970-01-01 01:00:57,4.0,10.0,14.0
-3.25,3.75,1970-01-01 01:00:53,1970-01-01 01:01:27,1970-01-01 01:01:52,34.0,25.0,59.0
1.25,3.25,1970-01-01 01:01:13,1970-01-01 01:01:19,1970-01-01 01:01:45,6.0,26.0,32.0
-3.25,2.75,1970-01-01 01:01:23,,,,,
3.75,3.75,1970-01-01 01:01:34,1970-01-01 01:01:50,1970-01-01 01:02:42,16.0,52.0,68.0
0.25,-2.75,1970-01-01 01:01:54,1970-01-01 01:02:09,1970-01-01 01:03:52,15.0,103.0,118.0
-1.25,-3.25,1970-01-01 01:02:04,1970-01-01 01:02:07,1970-01-01 01:02:27,3.0,20.0,23.0
0.75,-1.75,1970-01-01 01:02:14,,,,,
-0.25,-2.75,1970-01-01 01:02:24,1970-01-01 01:02:34,1970-01-01 01:03:58,10.0,84.0,94.0
1.75,1.75,1970-01-01 01:02:35,,,,,
1.25,2.75,1970-01-01 01:02:45,,,,,
-2.25,-1.75,1970-01-01 01:02:55,1970-01-01 01:03:26,1970-01-01 01:03:34,31.0,8.0,39.0
0.25,-0.75,1970-01-01 01:03:05,,,,,
-2.75,-3.75,1970-01-01 01:10:11,,,,,
1.75,-4.25,1970-01-01 01:03:46,,,,,
1.75,-4.25,1970-01-01 01:03:46,,,,,
-1.75,-0.25,1970-01-01 01:03:56,,,,,
-2.25,-0.25,1970-01-01 01:04:06,,,,,
-2.75,-0.25,1970-01-01 01:04:16,,,,,
-1.25,-1.25,1970-01-01 01:04:27,,,,,
2.25,-4.25,1970-01-01 01:04:37,,,,,
2.75,3.75,1970-01-01 01:04:47,1970-01-01 01:09:15,,268.0,,
2.75,-3.25,1970-01-01 01:04:57,,,,,
-1.25,0.25,1970-01-01 01:05:07,1970-01-01 01:06:29,1970-01-01 01:06:41,82.0,12.0,94.0
0.75,0.25,1970-01-01 01:05:17,,,,,
0.25,0.75,1970-01-01 01:05:27,,,,,
0.75,-0.25,1970-01-01 01:05:38,,,,,
1.25,1.25,1970-01-01 01:05:48,,,,,
-3.25,-1.25,1970-01-01 01:05:58,1970-01-01 01:07:32,1970-01-01 01:07:56,94.0,24.0,118.0
2.75,0.75,1970-01-01 01:06:08,,,,,
-0.75,-4.25,1970-01-01 01:06:18,,,,,
-3.75,2.75,1970-01-01 01:06:28,,,,,
0.75,-3.25,1970-01-01 01:06:39,,,,,
-0.25,1.25,1970-01-01 01:06:49,,,,,
0.75,1.25,1970-01-01 01:06:59,,,,,
3.25,-3.75,1970-01-01 01:07:09,,,,,
-2.75,-1.25,1970-01-01 01:07:19,1970-01-01 01:08:48,1970-01-01 01:09:08,89.0,20.0,109.0
1.25,3.75,1970-01-01 01:07:59,,,,,
2.25,-0.25,1970-01-01 01:07:39,,,,,
-1.75,-3.75,1970-01-01 01:07:49,1970-01-01 01:08:12,1970-01-01 01:08:33,23.0,21.0,44.0
1.25,3.75,1970-01-01 01:07:59,,,,,
2.25,3.75,1970-01-01 01:08:09,,,,,
-1.25,4.25,1970-01-01 01:08:20,,,,,
-3.25,1.75,1970-01-01 01:08:30,,,,,
3.75,4.25,1970-01-01 01:08:50,,,,,
0.75,-4.25,1970-01-01 01:09:00,,,,,
-2.25,4.25,1970-01-01 01:09:10,,,,,
1.25,0.25,1970-01-01 01:09:20,1970-01-01 01:09:34,,14.0,,
-0.75,3.25,1970-01-01 01:09:30,,,,,
-2.25,-1.25,1970-01-01 01:09:40,1970-01-01 01:09:47,1970-01-01 01:10:18,7.0,31.0,38.0
1.25,4.25,1970-01-01 01:09:50,,,,,
-1.25,-0.75,1970-01-01 01:10:01,,,,,
-2.75,-3.75,1970-01-01 01:10:11,,,,,
2.75,1.25,1970-01-01 01:10:21,,,,,
