x,y,spawned,detected,attained,discovery,attainment,discover_completion
2.75,-3.25,1970-01-01 01:00:02,1970-01-01 01:00:48,1970-01-01 01:01:18,46.0,30.0,76.0
1.25,-4.25,1970-01-01 01:00:12,1970-01-01 01:00:36,1970-01-01 01:00:52,24.0,16.0,40.0
0.25,4.25,1970-01-01 01:00:22,,,,,
1.25,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:42,1970-01-01 01:01:10,10.0,28.0,38.0
-1.75,-3.25,1970-01-01 01:00:42,,,,,
2.75,-1.25,1970-01-01 01:00:52,,,,,
0.25,2.25,1970-01-01 01:01:02,1970-01-01 01:01:14,1970-01-01 01:01:31,12.0,17.0,29.0
1.75,-2.75,1970-01-01 01:01:12,,,,,
-0.25,-1.25,1970-01-01 01:01:22,1970-01-01 01:01:28,1970-01-01 01:01:45,6.0,17.0,23.0
2.25,2.75,1970-01-01 01:01:32,1970-01-01 01:01:38,1970-01-01 01:02:53,6.0,75.0,81.0
-2.25,-2.25,1970-01-01 01:01:42,,,,,
-0.75,-2.75,1970-01-01 01:01:52,,,,,
-0.75,1.25,1970-01-01 01:02:03,,,,,
1.75,-1.75,1970-01-01 01:02:13,,,,,
1.75,0.75,1970-01-01 01:02:23,1970-01-01 01:02:29,1970-01-01 01:02:42,6.0,13.0,19.0
-2.25,2.25,1970-01-01 01:02:33,,,,,
-2.75,-4.25,1970-01-01 01:02:43,,,,,
-3.25,-0.25,1970-01-01 01:02:53,1970-01-01 01:02:59,,6.0,,
