x,y,spawned,detected,attained,discovery,attainment,discover_completion
-2.25,-1.75,1970-01-01 01:00:02,,,,,
-2.75,-0.75,1970-01-01 01:00:12,,,,,
0.25,2.25,1970-01-01 01:00:22,1970-01-01 01:00:22,,0.0,,
-0.75,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:32,,0.0,,
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,1970-01-01 01:00:12,,0.0,,
-2.75,2.75,1970-01-01 01:00:22,,,,,
1.25,3.75,1970-01-01 01:00:32,,,,,
2.75,-3.25,1970-01-01 01:00:02,1970-01-01 01:00:02,1970-01-01 01:00:36,0.0,34.0,34.0
1.25,-4.25,1970-01-01 01:00:12,1970-01-01 01:00:20,1970-01-01 01:00:45,8.0,25.0,33.0
0.25,4.25,1970-01-01 01:00:22,,,,,
1.25,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:32,,0.0,,
-1.75,-3.25,1970-01-01 01:00:42,,,,,
2.75,-1.25,1970-01-01 01:00:52,,,,,
-2.75,2.75,1970-01-01 01:00:02,1970-01-01 01:00:11,1970-01-01 01:00:30,9.0,19.0,28.0
-1.25,-2.75,1970-01-01 01:00:12,1970-01-01 01:00:12,1970-01-01 01:00:37,0.0,25.0,25.0
-2.25,2.75,1970-01-01 01:00:22,,,,,
-1.25,-4.25,1970-01-01 01:00:32,,,,,
1.75,-1.25,1970-01-01 01:00:02,,,,,
2.25,2.25,1970-01-01 01:00:12,1970-01-01 01:00:12,,0.0,,
2.25,2.75,1970-01-01 01:00:22,1970-01-01 01:00:25,,3.0,,
-1.25,-3.25,1970-01-01 01:00:32,,,,,
