x,y,spawned,detected,attained,discovery,attainment,discover_completion
1.75,-1.25,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:23,1970-01-01 01:00:28,1970-01-01 01:00:48,5.0,20.0,25.0
-1.25,-3.25,1970-01-01 01:00:33,1970-01-01 01:02:06,1970-01-01 01:02:31,93.0,25.0,118.0
3.75,-0.25,1970-01-01 01:00:43,,,,,
-4.25,-0.25,1970-01-01 01:00:53,,,,,
3.25,-3.25,1970-01-01 01:03:55,,,,,
3.25,3.75,1970-01-01 01:01:13,,,,,
0.25,2.75,1970-01-01 01:01:23,,,,,
-1.25,0.25,1970-01-01 01:01:33,1970-01-01 01:01:47,1970-01-01 01:02:04,14.0,17.0,31.0
-2.25,-2.25,1970-01-01 01:01:43,1970-01-01 01:02:01,1970-01-01 01:02:23,18.0,22.0,40.0
-1.25,-0.25,1970-01-01 01:04:35,,,,,
0.25,-2.25,1970-01-01 01:02:14,1970-01-01 01:02:16,1970-01-01 01:02:43,2.0,27.0,29.0
-0.75,3.25,1970-01-01 01:02:24,1970-01-01 01:02:25,1970-01-01 01:02:40,1.0,15.0,16.0
-0.75,-4.25,1970-01-01 01:03:34,,,,,
1.25,-3.25,1970-01-01 01:02:44,,,,,
1.25,-1.75,1970-01-01 01:04:25,,,,,
-3.75,3.25,1970-01-01 01:03:04,1970-01-01 01:03:42,1970-01-01 01:03:57,38.0,15.0,53.0
1.25,-1.75,1970-01-01 01:04:25,,,,,
-0.25,0.75,1970-01-01 01:03:45,,,,,
-0.75,-4.25,1970-01-01 01:03:34,,,,,
-0.25,0.75,1970-01-01 01:03:45,,,,,
3.25,-3.25,1970-01-01 01:03:55,,,,,
2.75,0.75,1970-01-01 01:07:36,1970-01-01 01:07:42,1970-01-01 01:08:07,6.0,25.0,31.0
-2.75,-2.25,1970-01-01 01:04:15,,,,,
1.25,-1.75,1970-01-01 01:04:25,,,,,
-1.25,-0.25,1970-01-01 01:04:35,,,,,
-1.25,-1.25,1970-01-01 01:04:45,1970-01-01 01:05:28,1970-01-01 01:05:43,43.0,15.0,58.0
2.25,-3.75,1970-01-01 01:04:55,1970-01-01 01:09:34,,279.0,,
2.25,1.75,1970-01-01 01:05:05,,,,,
-0.75,1.25,1970-01-01 01:05:15,,,,,
2.25,1.25,1970-01-01 01:05:25,1970-01-01 01:05:35,1970-01-01 01:06:15,10.0,40.0,50.0
1.25,-4.25,1970-01-01 01:05:35,,,,,
3.75,2.25,1970-01-01 01:05:46,1970-01-01 01:06:09,1970-01-01 01:06:28,23.0,19.0,42.0
0.25,3.75,1970-01-01 01:05:56,1970-01-01 01:06:03,1970-01-01 01:06:49,7.0,46.0,53.0
-1.25,-2.75,1970-01-01 01:06:06,1970-01-01 01:08:10,1970-01-01 01:08:37,124.0,27.0,151.0
0.75,-0.25,1970-01-01 01:06:16,,,,,
-0.25,4.25,1970-01-01 01:06:26,,,,,
0.75,-0.75,1970-01-01 01:06:36,1970-01-01 01:07:30,1970-01-01 01:08:02,54.0,32.0,86.0
-0.75,-0.75,1970-01-01 01:06:46,,,,,
2.25,-4.25,1970-01-01 01:06:56,,,,,
2.25,4.25,1970-01-01 01:07:06,,,,,
2.25,-0.25,1970-01-01 01:07:16,,,,,
0.75,-2.75,1970-01-01 01:07:26,,,,,
2.75,0.75,1970-01-01 01:07:36,1970-01-01 01:07:42,1970-01-01 01:08:07,6.0,25.0,31.0
-0.25,-2.75,1970-01-01 01:07:46,,,,,
2.75,-1.25,1970-01-01 01:07:56,,,,,
-3.75,-0.75,1970-01-01 01:08:07,1970-01-01 01:08:09,1970-01-01 01:08:25,2.0,16.0,18.0
0.75,2.25,1970-01-01 01:08:17,,,,,
2.75,-1.75,1970-01-01 01:08:27,,,,,
-0.75,-2.25,1970-01-01 01:08:37,,,,,
4.25,0.75,1970-01-01 01:08:57,,,,,
1.75,0.25,1970-01-01 01:09:07,,,,,
-3.25,2.25,1970-01-01 01:09:17,,,,,
0.75,-1.75,1970-01-01 01:09:37,,,,,
0.25,-1.25,1970-01-01 01:09:47,,,,,
-1.75,-2.75,1970-01-01 01:09:57,,,,,
0.25,0.75,1970-01-01 01:10:07,,,,,
