x,y,spawned,detected,attained,discovery,attainment,discover_completion
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,,,,,
-2.75,2.75,1970-01-01 01:00:22,,,,,
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:52,6.0,74.0,80.0
2.75,3.75,1970-01-01 01:00:43,1970-01-01 01:00:48,1970-01-01 01:02:01,5.0,73.0,78.0
1.25,2.25,1970-01-01 01:00:53,1970-01-01 01:00:58,1970-01-01 01:01:11,5.0,13.0,18.0
-0.25,-3.25,1970-01-01 01:01:03,1970-01-01 01:01:15,1970-01-01 01:01:32,12.0,17.0,29.0
0.75,0.75,1970-01-01 01:01:13,,,,,
0.75,-2.25,1970-01-01 01:01:23,,,,,
2.25,-4.25,1970-01-01 01:01:33,,,,,
-0.25,4.25,1970-01-01 01:01:43,,,,,
0.25,-0.75,1970-01-01 01:01:53,,,,,
0.75,-3.75,1970-01-01 01:02:03,,,,,
