x,y,spawned,detected,attained,discovery,attainment,total_time
1.75,-1.25,1970-01-01 01:00:02,,,,,
2.25,2.25,1970-01-01 01:09:25,,,,,
2.25,2.75,1970-01-01 01:00:22,,,,,
-1.25,-3.25,1970-01-01 01:00:32,1970-01-01 01:03:10,1970-01-01 01:03:31,158.0,21.0,179.0
3.75,-0.25,1970-01-01 01:00:42,1970-01-01 01:00:51,1970-01-01 01:01:10,9.0,19.0,28.0
-4.25,-0.25,1970-01-01 01:00:52,,,,,
3.25,-3.25,1970-01-01 01:03:54,,,,,
3.25,3.75,1970-01-01 01:01:13,1970-01-01 01:01:14,1970-01-01 01:01:43,1.0,29.0,30.0
0.25,2.75,1970-01-01 01:01:23,,,,,
-1.25,0.25,1970-01-01 01:01:33,1970-01-01 01:01:47,1970-01-01 01:02:17,14.0,30.0,44.0
-2.25,-2.25,1970-01-01 01:01:43,1970-01-01 01:03:13,1970-01-01 01:03:40,90.0,27.0,117.0
-1.25,-0.25,1970-01-01 01:04:34,1970-01-01 01:02:23,1970-01-01 01:02:49,,26.0,
-2.25,-3.25,1970-01-01 01:08:45,,,,,
0.25,-2.25,1970-01-01 01:02:13,,,,,
-0.75,3.25,1970-01-01 01:02:23,1970-01-01 01:06:20,1970-01-01 01:07:04,237.0,44.0,281.0
-0.75,-4.25,1970-01-01 01:03:34,,,,,
1.25,-3.25,1970-01-01 01:02:43,,,,,
1.25,-1.75,1970-01-01 01:04:24,,,,,
-3.75,3.25,1970-01-01 01:03:03,1970-01-01 01:06:18,1970-01-01 01:06:36,195.0,18.0,213.0
1.25,-1.75,1970-01-01 01:04:24,,,,,
-0.25,0.75,1970-01-01 01:03:44,,,,,
-0.75,-4.25,1970-01-01 01:03:34,,,,,
-0.25,0.75,1970-01-01 01:03:44,,,,,
3.25,-3.25,1970-01-01 01:03:54,,,,,
2.75,0.75,1970-01-01 01:07:35,,,,,
-2.75,-2.25,1970-01-01 01:04:14,,,,,
1.25,-1.75,1970-01-01 01:04:24,,,,,
-1.25,-0.25,1970-01-01 01:04:34,1970-01-01 01:02:23,1970-01-01 01:02:49,,26.0,
-1.25,-1.25,1970-01-01 01:04:44,,,,,
2.25,-3.75,1970-01-01 01:04:54,,,,,
2.25,1.75,1970-01-01 01:05:04,,,,,
-0.75,1.25,1970-01-01 01:07:45,,,,,
2.25,1.25,1970-01-01 01:05:24,,,,,
1.25,-4.25,1970-01-01 01:05:34,,,,,
3.75,2.25,1970-01-01 01:05:44,,,,,
0.25,3.75,1970-01-01 01:05:54,,,,,
-1.25,-2.75,1970-01-01 01:06:05,,,,,
0.75,-0.25,1970-01-01 01:06:15,,,,,
-0.25,4.25,1970-01-01 01:06:25,,,,,
0.75,-0.75,1970-01-01 01:06:35,,,,,
-0.75,-0.75,1970-01-01 01:06:45,,,,,
2.25,-4.25,1970-01-01 01:06:55,,,,,
2.25,4.25,1970-01-01 01:07:05,,,,,
2.25,-0.25,1970-01-01 01:07:15,,,,,
0.75,-2.75,1970-01-01 01:07:25,,,,,
2.75,0.75,1970-01-01 01:07:35,,,,,
-0.75,1.25,1970-01-01 01:07:45,,,,,
0.75,-4.25,1970-01-01 01:07:55,,,,,
0.25,3.25,1970-01-01 01:08:05,,,,,
0.75,2.25,1970-01-01 01:08:15,,,,,
2.75,-1.75,1970-01-01 01:08:25,,,,,
-0.75,-2.25,1970-01-01 01:08:35,,,,,
-2.25,-3.25,1970-01-01 01:08:45,,,,,
4.25,0.75,1970-01-01 01:08:55,,,,,
1.75,0.25,1970-01-01 01:09:05,,,,,
-3.25,2.25,1970-01-01 01:09:15,,,,,
2.25,2.25,1970-01-01 01:09:25,,,,,
0.75,-1.75,1970-01-01 01:09:36,,,,,
0.25,-1.25,1970-01-01 01:09:46,,,,,
-1.75,-2.75,1970-01-01 01:09:56,,,,,
0.25,0.75,1970-01-01 01:10:06,,,,,
