x,y,spawned,detected,attained,discovery,attainment,total_time
2.75,-3.25,1970-01-01 01:00:02,1970-01-01 01:00:05,1970-01-01 01:00:59,3.0,54.0,57.0
1.25,-4.25,1970-01-01 01:00:12,,,,,
0.25,4.25,1970-01-01 01:00:22,,,,,
1.25,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:34,1970-01-01 01:00:54,2.0,20.0,22.0
-1.75,-3.25,1970-01-01 01:00:42,,,,,
2.75,-1.25,1970-01-01 01:00:52,,,,,
0.25,2.25,1970-01-01 01:01:02,1970-01-01 01:01:07,1970-01-01 01:01:30,5.0,23.0,28.0
1.75,-2.75,1970-01-01 01:01:12,,,,,
-0.25,-1.25,1970-01-01 01:01:22,,,,,
2.25,2.75,1970-01-01 01:01:32,1970-01-01 01:01:38,1970-01-01 01:02:05,6.0,27.0,33.0
-2.25,-2.25,1970-01-01 01:01:42,1970-01-01 01:01:43,1970-01-01 01:02:02,1.0,19.0,20.0
-0.75,-2.75,1970-01-01 01:01:52,,,,,
-0.75,1.25,1970-01-01 01:02:02,1970-01-01 01:02:21,1970-01-01 01:02:47,19.0,26.0,45.0
1.75,-1.75,1970-01-01 01:02:12,,,,,
1.75,0.75,1970-01-01 01:02:23,,,,,
-2.25,2.25,1970-01-01 01:06:24,,,,,
-2.75,-4.25,1970-01-01 01:02:43,,,,,
-3.25,-0.25,1970-01-01 01:02:53,1970-01-01 01:03:06,1970-01-01 01:03:28,13.0,22.0,35.0
1.25,2.75,1970-01-01 01:03:03,,,,,
-2.75,-2.25,1970-01-01 01:03:13,,,,,
0.75,2.75,1970-01-01 01:03:23,1970-01-01 01:03:46,1970-01-01 01:04:23,23.0,37.0,60.0
-2.75,-1.25,1970-01-01 01:03:33,1970-01-01 01:04:36,1970-01-01 01:05:00,63.0,24.0,87.0
0.25,-3.25,1970-01-01 01:03:43,,,,,
-2.25,2.25,1970-01-01 01:06:24,,,,,
-2.25,-4.25,1970-01-01 01:08:24,,,,,
3.75,-4.25,1970-01-01 01:04:13,,,,,
1.75,-4.25,1970-01-01 01:04:23,,,,,
0.75,1.25,1970-01-01 01:04:33,,,,,
0.75,-0.25,1970-01-01 01:04:43,,,,,
0.25,0.75,1970-01-01 01:04:53,,,,,
2.25,3.75,1970-01-01 01:05:04,,,,,
-0.75,1.75,1970-01-01 01:05:14,,,,,
0.25,3.75,1970-01-01 01:05:24,1970-01-01 01:08:36,1970-01-01 01:09:07,192.0,31.0,223.0
2.75,-4.25,1970-01-01 01:05:34,,,,,
4.25,-1.25,1970-01-01 01:05:44,,,,,
0.25,-1.25,1970-01-01 01:05:54,,,,,
-2.75,-0.25,1970-01-01 01:06:04,,,,,
-3.25,-1.75,1970-01-01 01:06:14,,,,,
-2.25,2.25,1970-01-01 01:06:24,,,,,
1.25,-2.25,1970-01-01 01:07:24,,,,,
-0.25,-1.75,1970-01-01 01:06:44,,,,,
3.25,2.75,1970-01-01 01:06:54,,,,,
-1.25,1.25,1970-01-01 01:07:04,,,,,
-3.75,-0.25,1970-01-01 01:07:14,,,,,
1.25,-2.25,1970-01-01 01:07:24,,,,,
0.25,1.75,1970-01-01 01:07:34,,,,,
0.25,3.25,1970-01-01 01:07:44,,,,,
0.75,0.25,1970-01-01 01:07:54,,,,,
0.75,3.25,1970-01-01 01:08:04,1970-01-01 01:08:35,1970-01-01 01:09:02,31.0,27.0,58.0
0.25,1.25,1970-01-01 01:08:14,,,,,
-2.25,-4.25,1970-01-01 01:08:24,,,,,
-2.75,0.25,1970-01-01 01:08:35,,,,,
0.75,-2.25,1970-01-01 01:08:45,,,,,
-2.75,2.25,1970-01-01 01:08:55,,,,,
-1.75,-0.75,1970-01-01 01:09:05,,,,,
-0.25,1.75,1970-01-01 01:09:15,,,,,
-3.75,3.25,1970-01-01 01:09:25,,,,,
-1.25,1.75,1970-01-01 01:09:35,,,,,
-3.75,0.75,1970-01-01 01:09:45,,,,,
1.25,0.75,1970-01-01 01:09:55,,,,,
-0.75,-2.25,1970-01-01 01:10:05,,,,,
-3.25,3.75,1970-01-01 01:10:15,,,,,
2.25,-0.75,1970-01-01 01:10:25,,,,,
