x,y,spawned,detected,attained,discovery,attainment,total_time
-2.25,1.75,1970-01-01 01:06:26,,,,,
1.25,-2.25,1970-01-01 01:06:37,,,,,
-0.75,1.75,1970-01-01 01:06:47,,,,,
3.25,-1.25,1970-01-01 01:06:57,,,,,
0.25,-3.25,1970-01-01 01:07:07,,,,,
2.75,-3.25,1970-01-01 01:07:17,,,,,
0.25,1.25,1970-01-01 01:07:27,,,,,
0.25,3.25,1970-01-01 01:07:37,,,,,
0.75,-0.25,1970-01-01 01:07:47,,,,,
0.75,3.25,1970-01-01 01:07:57,,,,,
0.25,0.75,1970-01-01 01:08:07,,,,,
-2.25,-4.25,1970-01-01 01:08:17,,,,,
-2.75,0.75,1970-01-01 01:08:27,,,,,
0.75,-2.25,1970-01-01 01:08:37,,,,,
-2.75,1.75,1970-01-01 01:08:47,,,,,
-1.75,-1.25,1970-01-01 01:08:57,,,,,
-0.25,1.25,1970-01-01 01:09:07,,,,,
-3.75,3.25,1970-01-01 01:09:18,,,,,
-1.25,0.75,1970-01-01 01:09:28,,,,,
-3.75,1.25,1970-01-01 01:09:38,,,,,
1.25,0.75,1970-01-01 01:09:48,,,,,
-0.75,-3.25,1970-01-01 01:09:58,,,,,
-3.25,3.75,1970-01-01 01:10:08,,,,,
-2.75,2.75,1970-01-01 01:00:02,1970-01-01 01:00:20,1970-01-01 01:01:58,18,98,116
-1.25,-2.75,1970-01-01 01:00:12,1970-01-01 01:00:24,1970-01-01 01:00:39,12,15,27
-2.25,2.75,1970-01-01 01:00:22,,,,,
-1.25,-4.25,1970-01-01 01:00:32,,,,,
-0.75,-3.25,1970-01-01 01:00:42,1970-01-01 01:00:52,1970-01-01 01:01:25,10,33,43
-3.25,3.75,1970-01-01 01:00:52,1970-01-01 01:00:58,1970-01-01 01:01:18,6,20,26
-1.75,-0.75,1970-01-01 01:01:02,,,,,
1.25,3.25,1970-01-01 01:01:12,1970-01-01 01:02:24,1970-01-01 01:04:54,72,150,222
-3.25,2.75,1970-01-01 01:01:23,,,,,
3.75,3.75,1970-01-01 01:01:33,,,,,
-0.25,-3.25,1970-01-01 01:01:43,,,,,
0.25,-2.75,1970-01-01 01:01:53,,,,,
-1.25,-3.25,1970-01-01 01:02:03,1970-01-01 01:03:15,1970-01-01 01:03:36,72,21,93
0.75,-1.75,1970-01-01 01:02:13,1970-01-01 01:03:17,1970-01-01 01:03:49,64,32,96
1.75,1.75,1970-01-01 01:02:33,,,,,
1.25,2.75,1970-01-01 01:02:43,1970-01-01 01:02:58,1970-01-01 01:03:33,15,35,50
-2.25,-1.75,1970-01-01 01:02:54,,,,,
0.25,-0.75,1970-01-01 01:03:04,,,,,
