x,y,spawned,detected,attained,discovery,attainment,discover_completion
-2.75,2.75,1970-01-01 01:00:03,1970-01-01 01:00:10,,7.0,,
-1.25,-3.75,1970-01-01 01:00:13,1970-01-01 01:00:13,1970-01-01 01:00:30,0.0,17.0,17.0
-2.25,2.25,1970-01-01 01:00:23,,,,,
-1.75,0.75,1970-01-01 01:00:33,,,,,
-2.25,-1.75,1970-01-01 01:00:03,,,,,
-2.75,-0.75,1970-01-01 01:00:13,1970-01-01 01:00:13,1970-01-01 01:00:28,0.0,15.0,15.0
0.25,1.75,1970-01-01 01:00:23,1970-01-01 01:00:23,,0.0,,
-1.25,4.25,1970-01-01 01:00:33,,,,,
1.75,-1.25,1970-01-01 01:00:02,,,,,
2.25,2.25,1970-01-01 01:00:12,1970-01-01 01:00:14,1970-01-01 01:00:38,2.0,24.0,26.0
2.25,2.75,1970-01-01 01:00:22,1970-01-01 01:00:23,,1.0,,
-1.25,-3.25,1970-01-01 01:00:32,1970-01-01 01:00:33,,1.0,,
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,1970-01-01 01:00:16,,4.0,,
-2.75,2.75,1970-01-01 01:00:22,,,,,
1.25,3.75,1970-01-01 01:00:32,,,,,
2.75,-3.25,1970-01-01 01:00:02,1970-01-01 01:00:02,,0.0,,
1.25,-4.25,1970-01-01 01:00:12,,,,,
0.25,4.25,1970-01-01 01:00:22,,,,,
1.25,-3.75,1970-01-01 01:00:32,,,,,
