x,y,spawned,detected,attained,discovery,attainment,discover_completion
-2.75,2.75,1970-01-01 01:00:03,1970-01-01 01:00:03,1970-01-01 01:00:18,0.0,15.0,15.0
-1.25,-3.75,1970-01-01 01:00:13,1970-01-01 01:00:55,1970-01-01 01:01:27,42.0,32.0,74.0
-2.25,2.25,1970-01-01 01:00:23,,,,,
-1.75,0.75,1970-01-01 01:00:33,,,,,
-0.75,-4.25,1970-01-01 01:00:43,1970-01-01 01:00:58,1970-01-01 01:01:32,15.0,34.0,49.0
-3.25,3.75,1970-01-01 01:00:53,1970-01-01 01:01:58,,65.0,,
-1.75,-1.25,1970-01-01 01:01:03,1970-01-01 01:01:03,1970-01-01 01:01:12,0.0,9.0,9.0
1.25,3.25,1970-01-01 01:01:13,,,,,
-3.25,2.75,1970-01-01 01:01:23,1970-01-01 01:01:53,,30.0,,
3.75,3.25,1970-01-01 01:01:33,,,,,
-0.25,-3.75,1970-01-01 01:01:43,1970-01-01 01:01:49,,6.0,,
0.25,-3.25,1970-01-01 01:01:54,,,,,
-1.25,-4.25,1970-01-01 01:02:04,,,,,
2.75,-3.75,1970-01-01 01:00:03,1970-01-01 01:00:40,1970-01-01 01:01:07,37.0,27.0,64.0
1.25,-4.25,1970-01-01 01:00:13,1970-01-01 01:00:35,1970-01-01 01:00:52,22.0,17.0,39.0
0.25,3.75,1970-01-01 01:00:23,1970-01-01 01:01:46,,83.0,,
1.25,-3.75,1970-01-01 01:00:33,1970-01-01 01:00:33,1970-01-01 01:00:57,0.0,24.0,24.0
-1.75,-3.75,1970-01-01 01:00:43,1970-01-01 01:00:48,1970-01-01 01:01:08,5.0,20.0,25.0
2.75,-1.25,1970-01-01 01:00:53,1970-01-01 01:01:58,,65.0,,
0.25,1.75,1970-01-01 01:01:03,1970-01-01 01:01:32,,29.0,,
1.75,-2.75,1970-01-01 01:01:13,1970-01-01 01:01:18,1970-01-01 01:01:47,5.0,29.0,34.0
-0.25,-2.25,1970-01-01 01:01:23,,,,,
2.25,2.25,1970-01-01 01:01:33,1970-01-01 01:01:41,1970-01-01 01:01:58,8.0,17.0,25.0
-2.25,-2.25,1970-01-01 01:01:43,,,,,
-0.75,-3.75,1970-01-01 01:01:53,,,,,
-0.75,0.25,1970-01-01 01:02:04,1970-01-01 01:02:04,,0.0,,
1.75,-1.75,1970-01-01 01:02:14,,,,,
-2.25,-1.75,1970-01-01 01:00:02,1970-01-01 01:00:17,1970-01-01 01:01:43,15.0,86.0,101.0
-2.75,-0.75,1970-01-01 01:00:12,1970-01-01 01:00:12,1970-01-01 01:01:51,0.0,99.0,99.0
0.25,2.25,1970-01-01 01:00:22,,,,,
-0.75,-3.75,1970-01-01 01:00:32,,,,,
0.25,3.25,1970-01-01 01:00:42,,,,,
-1.75,-0.25,1970-01-01 01:00:52,,,,,
0.25,4.25,1970-01-01 01:01:02,,,,,
-0.25,-3.75,1970-01-01 01:01:12,1970-01-01 01:01:13,1970-01-01 01:01:28,1.0,15.0,16.0
1.25,-1.75,1970-01-01 01:01:22,,,,,
1.25,-2.25,1970-01-01 01:01:32,,,,,
-0.75,-2.25,1970-01-01 01:01:42,,,,,
-2.25,-2.25,1970-01-01 01:01:53,,,,,
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,,,,,
-2.75,2.75,1970-01-01 01:00:22,1970-01-01 01:00:27,1970-01-01 01:01:45,5.0,78.0,83.0
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:37,1970-01-01 01:01:03,5.0,26.0,31.0
2.75,3.75,1970-01-01 01:00:42,1970-01-01 01:00:42,1970-01-01 01:00:50,0.0,8.0,8.0
1.25,2.25,1970-01-01 01:00:52,,,,,
-0.25,-3.25,1970-01-01 01:01:02,1970-01-01 01:01:46,,44.0,,
0.75,0.75,1970-01-01 01:01:12,1970-01-01 01:01:17,1970-01-01 01:01:32,5.0,15.0,20.0
0.75,-2.25,1970-01-01 01:01:22,1970-01-01 01:01:29,,7.0,,
2.25,-4.25,1970-01-01 01:01:32,,,,,
-0.25,4.25,1970-01-01 01:01:42,,,,,
0.25,-0.75,1970-01-01 01:01:52,,,,,
1.75,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.25,1970-01-01 01:00:22,,,,,
2.25,2.25,1970-01-01 01:00:22,,,,,
-1.25,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:32,1970-01-01 01:00:43,0.0,11.0,11.0
3.75,-0.75,1970-01-01 01:00:42,,,,,
-4.25,-0.25,1970-01-01 01:00:52,1970-01-01 01:00:52,1970-01-01 01:01:09,0.0,17.0,17.0
3.25,-3.25,1970-01-01 01:01:02,1970-01-01 01:01:37,,35.0,,
3.25,4.25,1970-01-01 01:01:12,,,,,
0.25,2.75,1970-01-01 01:01:22,,,,,
-1.25,-0.25,1970-01-01 01:01:32,1970-01-01 01:01:59,,27.0,,
-2.25,-2.25,1970-01-01 01:01:42,1970-01-01 01:01:43,,1.0,,
-1.25,-1.25,1970-01-01 01:01:52,1970-01-01 01:01:58,,6.0,,
