x,y,spawned,detected,attained,discovery,attainment,discover_completion
1.75,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.25,1970-01-01 01:00:22,,,,,
2.25,2.25,1970-01-01 01:00:22,,,,,
-1.25,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:32,1970-01-01 01:00:43,0.0,11.0,11.0
3.75,-0.75,1970-01-01 01:00:42,,,,,
-4.25,-0.25,1970-01-01 01:00:52,1970-01-01 01:00:52,1970-01-01 01:01:09,0.0,17.0,17.0
3.25,-3.25,1970-01-01 01:01:02,1970-01-01 01:01:37,,35.0,,
3.25,4.25,1970-01-01 01:01:12,,,,,
0.25,2.75,1970-01-01 01:01:22,,,,,
-1.25,-0.25,1970-01-01 01:01:32,1970-01-01 01:01:59,,27.0,,
-2.25,-2.25,1970-01-01 01:01:42,1970-01-01 01:01:43,,1.0,,
-1.25,-1.25,1970-01-01 01:01:52,1970-01-01 01:01:58,,6.0,,
