x,y,spawned,detected,attained,discovery,attainment,discover_completion
1.75,-1.25,1970-01-01 01:00:02,1970-01-01 01:00:08,1970-01-01 01:00:42,6,34,40
2.25,2.75,1970-01-01 01:00:22,,,,,
-1.25,-3.25,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:03,6,25,31
3.75,-0.25,1970-01-01 01:00:43,1970-01-01 01:00:52,1970-01-01 01:01:11,9,19,28
-4.25,-0.25,1970-01-01 01:00:53,1970-01-01 01:02:16,1970-01-01 01:04:47,83,151,234
3.25,-3.25,1970-01-01 01:03:45,1970-01-01 01:03:50,1970-01-01 01:05:56,5,126,131
3.25,3.75,1970-01-01 01:01:13,1970-01-01 01:01:26,1970-01-01 01:01:50,13,24,37
0.25,2.75,1970-01-01 01:01:23,,,,,
-1.25,0.25,1970-01-01 01:01:33,1970-01-01 01:01:34,1970-01-01 01:02:38,1,64,65
-2.25,-2.25,1970-01-01 01:01:43,1970-01-01 01:02:14,1970-01-01 01:05:15,31,181,212
-1.25,-0.25,1970-01-01 01:01:53,1970-01-01 01:01:55,1970-01-01 01:04:28,2,153,155
-2.25,-3.25,1970-01-01 01:08:27,1970-01-01 01:08:33,1970-01-01 01:09:38,6,65,71
0.25,-2.25,1970-01-01 01:02:14,1970-01-01 01:02:14,1970-01-01 01:02:30,0,16,16
-0.75,3.25,1970-01-01 01:02:24,1970-01-01 01:02:31,1970-01-01 01:03:06,7,35,42
-0.75,-4.25,1970-01-01 01:03:24,1970-01-01 01:03:38,1970-01-01 01:05:32,14,114,128
1.25,-3.25,1970-01-01 01:02:44,1970-01-01 01:02:53,1970-01-01 01:03:44,9,51,60
1.25,-1.75,1970-01-01 01:02:54,,,,,
-3.75,3.25,1970-01-01 01:03:04,1970-01-01 01:03:21,1970-01-01 01:03:40,17,19,36
-1.75,-3.75,1970-01-01 01:03:14,1970-01-01 01:03:36,1970-01-01 01:04:01,22,25,47
-0.75,-4.25,1970-01-01 01:03:24,1970-01-01 01:03:38,1970-01-01 01:05:32,14,114,128
-0.25,0.75,1970-01-01 01:03:34,,,,,
3.25,-3.25,1970-01-01 01:03:45,1970-01-01 01:03:50,1970-01-01 01:05:56,5,126,131
-2.75,-2.25,1970-01-01 01:04:05,1970-01-01 01:04:05,1970-01-01 01:04:14,0,9,9
-2.75,-1.75,1970-01-01 01:04:15,1970-01-01 01:04:20,1970-01-01 01:04:55,5,35,40
-1.25,-1.25,1970-01-01 01:04:25,1970-01-01 01:04:30,1970-01-01 01:05:06,5,36,41
2.25,-3.75,1970-01-01 01:04:35,,,,,
2.25,1.75,1970-01-01 01:04:45,1970-01-01 01:05:09,1970-01-01 01:05:29,24,20,44
-0.75,1.25,1970-01-01 01:07:27,1970-01-01 01:07:27,1970-01-01 01:07:45,0,18,18
2.25,1.25,1970-01-01 01:05:05,1970-01-01 01:05:10,1970-01-01 01:05:35,5,25,30
1.25,-4.25,1970-01-01 01:05:15,1970-01-01 01:05:24,1970-01-01 01:05:43,9,19,28
3.75,2.25,1970-01-01 01:05:26,1970-01-01 01:05:31,1970-01-01 01:06:52,5,81,86
0.25,3.75,1970-01-01 01:05:36,1970-01-01 01:05:36,1970-01-01 01:07:10,0,94,94
-1.25,-2.75,1970-01-01 01:05:46,1970-01-01 01:05:46,1970-01-01 01:06:19,0,33,33
0.75,-0.25,1970-01-01 01:05:56,1970-01-01 01:06:01,1970-01-01 01:06:29,5,28,33
-0.25,4.25,1970-01-01 01:06:06,1970-01-01 01:06:38,1970-01-01 01:07:03,32,25,57
0.75,-0.75,1970-01-01 01:06:16,,,,,
-0.75,-0.75,1970-01-01 01:06:26,,,,,
2.25,-4.25,1970-01-01 01:06:36,1970-01-01 01:08:30,1970-01-01 01:09:14,114,44,158
2.25,4.25,1970-01-01 01:06:46,1970-01-01 01:06:52,1970-01-01 01:07:24,6,32,38
2.25,-0.25,1970-01-01 01:06:56,,,,,
0.75,-2.75,1970-01-01 01:07:07,1970-01-01 01:07:33,1970-01-01 01:08:46,26,73,99
-0.75,1.25,1970-01-01 01:07:27,1970-01-01 01:07:27,1970-01-01 01:07:45,0,18,18
0.75,-4.25,1970-01-01 01:07:37,1970-01-01 01:08:15,1970-01-01 01:08:33,38,18,56
0.25,3.25,1970-01-01 01:07:47,,,,,
0.75,2.25,1970-01-01 01:07:57,,,,,
2.75,-1.75,1970-01-01 01:08:07,,,,,
-0.75,-2.25,1970-01-01 01:08:17,1970-01-01 01:08:23,1970-01-01 01:08:55,6,32,38
-2.25,-3.25,1970-01-01 01:08:27,1970-01-01 01:08:33,1970-01-01 01:09:38,6,65,71
4.25,0.75,1970-01-01 01:08:37,,,,,
1.75,0.25,1970-01-01 01:08:47,,,,,
-3.25,2.25,1970-01-01 01:08:57,1970-01-01 01:09:51,1970-01-01 01:10:12,54,21,75
0.75,-1.75,1970-01-01 01:09:18,1970-01-01 01:09:24,1970-01-01 01:09:50,6,26,32
0.25,-1.25,1970-01-01 01:09:28,1970-01-01 01:09:33,1970-01-01 01:10:18,5,45,50
-1.75,-2.75,1970-01-01 01:09:38,1970-01-01 01:09:43,1970-01-01 01:10:04,5,21,26
0.25,0.75,1970-01-01 01:09:48,1970-01-01 01:09:48,,0,,
-1.75,-1.25,1970-01-01 01:09:58,,,,,
-2.25,-0.25,1970-01-01 01:10:08,,,,,
-3.75,-2.25,1970-01-01 01:10:18,1970-01-01 01:10:24,,6,,
1.75,-3.75,1970-01-01 01:10:28,,,,,
