x,y,spawned,detected,attained,discovery,attainment,discover_completion
-2.75,2.75,1970-01-01 01:00:03,1970-01-01 01:00:08,1970-01-01 01:01:09,5.0,61.0,66.0
-1.25,-3.75,1970-01-01 01:00:13,1970-01-01 01:00:27,1970-01-01 01:00:44,14.0,17.0,31.0
-2.25,2.25,1970-01-01 01:00:23,,,,,
-1.75,0.75,1970-01-01 01:00:33,1970-01-01 01:00:34,1970-01-01 01:00:46,1.0,12.0,13.0
-0.75,-4.25,1970-01-01 01:05:57,1970-01-01 01:06:05,1970-01-01 01:07:08,8.0,63.0,71.0
-3.25,3.75,1970-01-01 01:10:29,,,,,
-1.75,-1.25,1970-01-01 01:01:04,1970-01-01 01:01:04,1970-01-01 01:01:19,0.0,15.0,15.0
1.25,3.25,1970-01-01 01:01:14,1970-01-01 01:01:22,1970-01-01 01:02:05,8.0,43.0,51.0
-3.25,2.75,1970-01-01 01:01:24,1970-01-01 01:01:26,1970-01-01 01:01:53,2.0,27.0,29.0
3.75,3.25,1970-01-01 01:01:34,1970-01-01 01:01:35,1970-01-01 01:01:51,1.0,16.0,17.0
-0.25,-3.75,1970-01-01 01:01:44,1970-01-01 01:02:24,1970-01-01 01:02:50,40.0,26.0,66.0
0.25,-3.25,1970-01-01 01:08:18,1970-01-01 01:08:23,1970-01-01 01:08:41,5.0,18.0,23.0
-1.25,-4.25,1970-01-01 01:02:04,1970-01-01 01:02:24,1970-01-01 01:02:41,20.0,17.0,37.0
0.75,-1.75,1970-01-01 01:02:14,1970-01-01 01:02:15,1970-01-01 01:02:34,1.0,19.0,20.0
1.25,-4.25,1970-01-01 01:02:25,1970-01-01 01:02:31,1970-01-01 01:03:03,6.0,32.0,38.0
3.75,1.25,1970-01-01 01:02:35,1970-01-01 01:02:42,1970-01-01 01:02:59,7.0,17.0,24.0
1.25,-3.25,1970-01-01 01:02:45,1970-01-01 01:02:45,1970-01-01 01:03:12,0.0,27.0,27.0
-3.75,3.25,1970-01-01 01:02:55,1970-01-01 01:06:21,1970-01-01 01:06:52,206.0,31.0,237.0
1.25,0.75,1970-01-01 01:03:05,1970-01-01 01:03:10,1970-01-01 01:04:19,5.0,69.0,74.0
0.75,-2.75,1970-01-01 01:06:17,1970-01-01 01:06:34,1970-01-01 01:06:53,17.0,19.0,36.0
3.25,-1.75,1970-01-01 01:03:25,,,,,
-1.75,-0.75,1970-01-01 01:03:35,,,,,
1.75,-4.25,1970-01-01 01:09:39,1970-01-01 01:09:54,1970-01-01 01:10:12,15.0,18.0,33.0
-1.75,-0.25,1970-01-01 01:03:55,1970-01-01 01:04:01,1970-01-01 01:04:26,6.0,25.0,31.0
-2.25,-0.25,1970-01-01 01:04:05,1970-01-01 01:04:11,1970-01-01 01:04:31,6.0,20.0,26.0
-2.75,-0.25,1970-01-01 01:04:16,,,,,
-1.25,-1.75,1970-01-01 01:04:26,,,,,
1.75,1.75,1970-01-01 01:08:08,1970-01-01 01:08:29,1970-01-01 01:09:04,21.0,35.0,56.0
2.75,3.25,1970-01-01 01:04:46,1970-01-01 01:04:48,1970-01-01 01:05:05,2.0,17.0,19.0
2.75,-3.75,1970-01-01 01:04:56,1970-01-01 01:04:56,1970-01-01 01:05:05,0.0,9.0,9.0
-1.25,-0.25,1970-01-01 01:05:06,1970-01-01 01:05:18,1970-01-01 01:05:39,12.0,21.0,33.0
0.75,-0.25,1970-01-01 01:05:16,1970-01-01 01:05:22,1970-01-01 01:05:54,6.0,32.0,38.0
0.25,-0.75,1970-01-01 01:05:26,,,,,
2.25,3.25,1970-01-01 01:05:37,1970-01-01 01:05:56,1970-01-01 01:06:13,19.0,17.0,36.0
-0.75,-1.75,1970-01-01 01:05:47,,,,,
-0.75,-4.25,1970-01-01 01:05:57,1970-01-01 01:06:05,1970-01-01 01:07:08,8.0,63.0,71.0
-2.25,0.75,1970-01-01 01:06:07,1970-01-01 01:06:07,1970-01-01 01:06:25,0.0,18.0,18.0
0.75,-2.75,1970-01-01 01:06:17,1970-01-01 01:06:34,1970-01-01 01:06:53,17.0,19.0,36.0
-0.75,-0.25,1970-01-01 01:06:27,,,,,
1.25,-1.75,1970-01-01 01:06:37,,,,,
0.25,1.75,1970-01-01 01:10:39,1970-01-01 01:10:40,,1.0,,
0.75,1.25,1970-01-01 01:06:57,1970-01-01 01:07:04,1970-01-01 01:07:21,7.0,17.0,24.0
3.25,-3.75,1970-01-01 01:07:07,1970-01-01 01:07:59,1970-01-01 01:08:19,52.0,20.0,72.0
-2.75,-1.25,1970-01-01 01:07:18,1970-01-01 01:07:23,1970-01-01 01:07:46,5.0,23.0,28.0
1.25,4.25,1970-01-01 01:07:28,1970-01-01 01:07:28,,0.0,,
2.25,-0.75,1970-01-01 01:07:38,1970-01-01 01:08:28,1970-01-01 01:08:50,50.0,22.0,72.0
-1.75,-4.25,1970-01-01 01:07:48,1970-01-01 01:07:48,1970-01-01 01:08:07,0.0,19.0,19.0
1.75,-1.75,1970-01-01 01:07:58,,,,,
1.75,1.75,1970-01-01 01:08:08,1970-01-01 01:08:29,1970-01-01 01:09:04,21.0,35.0,56.0
0.25,-3.25,1970-01-01 01:08:18,1970-01-01 01:08:23,1970-01-01 01:08:41,5.0,18.0,23.0
-0.25,-3.25,1970-01-01 01:08:28,1970-01-01 01:08:29,1970-01-01 01:10:23,1.0,114.0,115.0
1.75,-1.25,1970-01-01 01:08:38,1970-01-01 01:08:48,1970-01-01 01:09:06,10.0,18.0,28.0
0.25,4.25,1970-01-01 01:08:48,1970-01-01 01:09:00,,12.0,,
-2.25,3.75,1970-01-01 01:08:58,,,,,
1.25,0.25,1970-01-01 01:09:08,1970-01-01 01:09:14,1970-01-01 01:10:27,6.0,73.0,79.0
-0.75,1.25,1970-01-01 01:09:18,,,,,
-2.25,-1.25,1970-01-01 01:09:29,1970-01-01 01:09:34,1970-01-01 01:10:06,5.0,32.0,37.0
1.75,-4.25,1970-01-01 01:09:39,1970-01-01 01:09:54,1970-01-01 01:10:12,15.0,18.0,33.0
-1.25,-1.25,1970-01-01 01:09:49,1970-01-01 01:09:54,1970-01-01 01:10:00,5.0,6.0,11.0
-2.75,-3.75,1970-01-01 01:09:59,1970-01-01 01:09:59,1970-01-01 01:10:35,0.0,36.0,36.0
2.75,1.25,1970-01-01 01:10:09,,,,,
3.25,0.75,1970-01-01 01:10:19,1970-01-01 01:10:19,1970-01-01 01:10:38,0.0,19.0,19.0
-3.25,3.75,1970-01-01 01:10:29,,,,,
0.25,1.75,1970-01-01 01:10:39,1970-01-01 01:10:40,,1.0,,
